count,mask
40.528,-genome-
8.3552,-bridge--genome-
7.8393,-bridge--gatc--genome-
3.7967,-genome--bridge--gatc--egdirb--genome-
3.7627,-genome--egdirb-
3.4234,-genome--bridge--gatc--genome-
3.0912,-genome--bridge--genome-
3.0086,-genome--gatc--egdirb-
2.7313,-genome--egdirb--genome-
2.1292,-genome--gatc--egdirb--genome-
1.2097,-genome--blunt--genome-
1.1924,-genome--tnulb--genome-
0.8903,-tnulb--genome-
0.5269,-genome--[t]bridge--genome-
0.5136,-genome--[t]bridge--gatc--genome-
0.3767,-bridge--gatc--egdirb--genome-
0.3549,-genome--egdirb[a]--genome-
0.3327,-genome--bridge--gatc--egdirb-
0.266,-bridge--gatc--genome--bridge--genome-
0.2409,-genome--gatc--egdirb[a]--genome-
0.2221,-bridge--gatc--genome--egdirb--genome-
0.2171,-blunt--genome-
0.2056,-bridge--gatc--genome--tnulb--genome-
0.2025,-bridge--genome--bridge--genome-
0.1887,-bridge--genome--egdirb--genome-
0.1858,-genome--[t]bridge--gatc--egdirb--genome-
0.1819,-genome--blunt-
0.1752,-bridge--genome--blunt--genome-
0.1699,-bridge--gatc--genome--blunt--genome-
0.164,-genome--bridge--gatc--tnulb--genome-
0.1622,-bridge--genome--tnulb--genome-
0.1582,-tnulb--bridge--gatc--genome-
0.1533,-genome--bridge--gatc--egdirb[a]--genome-
0.1502,-tnulb--bridge--genome-
0.1365,-genome--blunt--genome--egdirb--genome-
0.1284,-genome--bridge--genome--tnulb--genome-
0.1271,-tnulb--genome--bridge--gatc--egdirb--genome-
0.1266,-genome--tnulb-
0.11,-tnulb--genome--egdirb-
0.1032,-genome--egdirb--genome--gatc--egdirb-
0.0917,-tnulb--genome--bridge--gatc--genome-
0.0914,-bridge--genome--blunt-
0.0889,-genome--egdirb--genome--egdirb-
0.0885,-bridge--gatc--genome--blunt-
0.0857,-genome--bridge--genome--gatc--egdirb-
0.0843,-genome--bridge--[4]--egdirb--genome-
0.0822,-tnulb--genome--gatc--egdirb-
0.0776,-genome--egdirb--blunt-
0.0771,-genome--tnulb--genome--egdirb-
0.0771,-genome--bridge--genome--egdirb-
0.0739,-bridge--gatc--tnulb--genome-
0.0725,-genome--blunt--genome--gatc--egdirb-
0.0702,-tnulb--genome--egdirb--genome-
0.0683,-tnulb--genome--bridge--genome-
0.0676,-genome--egdirb[a]--[1]--
0.0674,-genome--bridge--gatc--genome--bridge--genome-
0.067,-genome--blunt--genome--egdirb-
0.0663,-egdirb--genome-
