count,mask
46.0614,-genome-
11.6759,-bridge--gatc--genome-
4.8226,-genome--gatc--egdirb-
4.6245,-genome--bridge--gatc--genome-
2.8603,-genome--gatc--egdirb--genome-
2.6235,-genome--bridge--genome-
2.5427,-genome--egdirb--genome-
2.3991,-bridge--genome-
1.8238,-genome--egdirb-
1.549,-genome--blunt--genome-
1.5286,-genome--tnulb--genome-
1.2516,-genome--bridge--gatc--egdirb--genome-
1.0617,-genome--[t]bridge--gatc--genome-
0.527,-genome--[t]bridge--genome-
0.51,-genome--gatc--egdirb[a]--genome-
0.432,-tnulb--genome-
0.4201,-bridge--gatc--genome--bridge--genome-
0.3407,-genome--egdirb[a]--genome-
0.3212,-bridge--gatc--genome--egdirb--genome-
0.3134,-bridge--gatc--genome--tnulb--genome-
0.2781,-bridge--gatc--egdirb--genome-
0.2471,-genome--bridge--gatc--egdirb-
0.221,-bridge--gatc--genome--blunt--genome-
0.1547,-genome--blunt--genome--egdirb--genome-
0.1499,-genome--bridge--gatc--tnulb--genome-
0.1462,-bridge--gatc--[6]--egdirb--genome-
0.1458,-genome--egdirb--genome--gatc--egdirb-
0.1426,-genome--blunt--genome--gatc--egdirb-
0.1376,-genome--blunt-
0.1312,-genome--bridge--genome--tnulb--genome-
0.1246,-genome--bridge--genome--gatc--egdirb-
0.1123,-tnulb--bridge--gatc--genome-
0.1026,-genome--[t]bridge--gatc--egdirb--genome-
0.0902,-blunt--genome-
0.0797,-genome--tnulb--genome--gatc--egdirb-
0.0795,-genome--blunt--genome--bridge--genome-
0.0792,-genome--bridge--[6]--gatc--egdirb-
0.0776,-genome--bridge--gatc--genome--bridge--genome-
0.0771,-bridge--genome--bridge--genome-
0.0749,-genome--egdirb--genome--tnulb--genome-
0.0737,-genome--bridge--gatc--egdirb[a]--genome-
0.0714,-genome--tnulb-
0.0695,-genome--gatc--egdirb[a]--[1]--
0.0673,-genome--gatc--egdirb[a]-
0.0666,-bridge--gatc--tnulb--genome-
0.0645,-genome--bridge--gatc--genome--egdirb--genome-
0.0599,-genome--bridge--gatc--genome--tnulb--genome-
0.0589,-genome--bridge--genome--bridge--gatc--genome-
0.0588,-genome--bridge--gatc--[6]--egdirb--genome-
0.0571,-genome--blunt--gac--genome-
0.0563,-bridge--genome--tnulb--genome-
0.0557,-genome--egdirb--genome--gatc--egdirb--genome-
0.0556,-genome--[t]bridge--gatc--tnulb--genome-
0.0552,-genome--gatc--egdirb--blunt-
0.0537,-bridge--genome--egdirb--genome-
0.0533,-egdirb--genome-
0.0532,-genome--[t]bridge--gatc--egdirb-
0.0526,-genome--bridge--genome--gatc--egdirb--genome-
0.0517,-genome--bridge--gatc--[6]--
0.0506,-bridge--genome--blunt--genome-
0.0492,-genome--blunt--genome--gatc--egdirb--genome-
0.048,-genome--bridge-
0.0477,-genome--bridge--[2]--
0.0468,-genome--bridge--[6]--gatc--egdirb--genome-
0.046,-genome--egdirb--genome--bridge--gatc--genome-
0.0443,-genome--egdirb--genome--egdirb--genome-
0.0432,-genome--blunt--genome--egdirb-
0.0427,-bridge--gatc--genome--egdirb[a]--genome-
0.0418,-genome--gtc--tnulb--genome-
0.0413,-genome--bridge--genome--bridge--genome-
0.0412,-genome--egdirb--genome--egdirb-
0.0401,-genome--blunt--genome--bridge--gatc--genome-
0.0399,-bridge--gatc--genome--[t]bridge--genome-
0.0396,-genome--bridge--gatc--genome--blunt--genome-
0.0391,-bridge--gatc--egdirb[a]--genome-
0.0389,-bridge--gatc--genome--blunt-
0.0383,-genome--bridge--[1]--
0.038,-genome--tnulb--genome--bridge--gatc--genome-
0.0378,-genome--bridge--genome--egdirb-
0.037,--[6]--bridge--genome-
0.0355,-genome--bridge--[3]--
0.0348,-tnulb--genome--gatc--egdirb-
0.0338,-tnulb--genome--bridge--gatc--genome-
0.0317,-bridge--gatc--genome--bridge--genome--tnulb--genome-
0.0309,-genome--tnulb--genome--gatc--egdirb--genome-
0.0309,--[6]--gatc--egdirb--genome-
0.0307,--[6]--bridge--gatc--genome-
0.0306,-genome--gatc--egdirb--genome--egdirb--genome-
0.0303,-genome--egdirb--genome--bridge--genome-
0.0298,-genome--bridge--genome--egdirb--genome-
0.0296,-genome--tnulb--genome--egdirb-
0.0292,-genome--egdirb--[6]--
0.0289,-genome--blunt--gatc--egdirb-
0.0287,-genome--bridge--gatc--[5]--
0.0286,-genome--gatc--egdirb--[6]--
0.0286,-genome--bridge--[10]--
0.0286,-genome--bridge--gatc--[3]--
0.0281,--[10]--tnulb--genome-
0.0281,--[2]--egdirb--genome-
0.028,-bridge--gatc--[6]--egdirb--genome--tnulb--genome-
0.0279,-tnulb--bridge--genome-
0.027,-tnulb--genome--gatc--egdirb--genome-
0.027,-genome--bridge--[11]--
0.0267,-genome--gatc--egdirb--genome--bridge--genome-
0.0266,-genome--bridge--[4]--egdirb--genome-
0.0265,-genome--bridge--gatc--[9]--
0.0261,-genome--bridge--gatc--[2]--
0.026,-genome--egdirb[a]--[1]--
0.0259,-genome--bridge--[4]--
0.0258,-genome--bridge--gatc--[11]--
0.0257,-genome--bridge--[5]--
0.025,-genome--egdirb[a]-
0.0248,-genome--gatc--egdirb--[7]--
0.0248,-genome--bridge--gatc--[7]--
0.0247,-genome--gatc--egdirb--[1]--
0.0246,-genome--gatc--egdirb--[11]--
0.0245,-genome--bridge--gatc--[8]--
0.0241,-genome--bridge--gatc--[4]--
0.0241,-genome--bridge--gatc--[10]--
0.0237,-genome--egdirb--[4]--
0.0237,-genome--gatc--egdirb--[10]--
0.0237,--[4]--egdirb--genome-
0.0235,--[6]--egdirb--genome-
0.0234,-genome--egdirb--blunt-
0.0231,-genome--gatc--egdirb--genome--blunt--genome-
0.023,--[7]--bridge--gatc--genome-
0.0229,-genome--bridge--[9]--
0.0228,-genome--bridge--[6]--
0.0228,-genome--egdirb--genome--blunt--genome-
0.0227,-genome--tnulb--genome--bridge--genome-
0.0227,-genome--gatc--egdirb--[3]--
0.0224,-tnulb--genome--bridge--genome-
0.0224,-genome--gatc--egdirb--[9]--
0.0222,-genome--gatc--egdirb--[8]--
0.0222,-genome--bridge--[8]--
0.0221,-bridge--gatc--[2]--tnulb--genome-
0.0221,-genome--blunt--gatc--egdirb--genome-
0.022,--[9]--bridge--gatc--genome-
0.0219,-genome--gatc--egdirb--[4]--
0.0218,-genome--gatc--egdirb--genome--tnulb--genome-
0.0213,-blunt--gac--genome-
0.0213,--[1]--tnulb--genome-
0.0209,--[11]--bridge--gatc--genome-
0.0209,-genome--bridge--gatc--[1]--
0.0209,--[11]--egdirb--genome-
0.0209,-genome--bridge--genome--blunt--genome-
0.0208,-genome--egdirb--[9]--
0.0208,-genome--gatc--egdirb--[5]--
0.0205,-genome--tnulb--genome--blunt--genome-
0.0204,-tnulb--genome--egdirb--genome-
0.0203,-genome--gatc--egdirb--[2]--
0.0201,--[5]--egdirb--genome-
0.0201,--[8]--bridge--gatc--genome-
0.0195,-genome--bridge--gatc-
0.0195,-genome--egdirb--[5]--
0.0192,-bridge--gatc--genome--blunt--genome--egdirb--genome-
0.0192,-genome--blunt--[10]--
0.0188,-genome--tnulb--genome--egdirb--genome-
0.0188,--[10]--bridge--gatc--genome-
0.0186,-genome--egdirb--[10]--
0.0186,-genome--bridge--gatc--tnulb-
0.0185,-genome--egdirb--[1]--
0.0185,-genome--tnulb--bridge--gatc--genome-
0.018,-genome--egdirb--[10]--bridge--gatc--genome-
0.0178,-genome--egdirb--[7]--
0.0178,--[3]--bridge--gatc--genome-
0.0174,-genome--egdirb--[8]--
0.0171,-genome--bridge--[7]--
0.0169,--[10]--egdirb--genome-
0.0169,-genome--bridge--gatc--genome--blunt-
0.0168,-genome--egdirb--[11]--
0.0168,--[4]--bridge--genome-
0.0167,-genome--[t]bridge--genome--gatc--egdirb-
0.0166,-genome--blunt--genome--tnulb--genome-
0.0166,-genome--blunt--[1]--
0.0162,-genome--[t]bridge--gatc--genome--egdirb--genome-
0.0161,--[1]--bridge--gatc--genome-
0.0161,--[5]--bridge--genome-
0.0161,--[10]--bridge--genome-
0.016,-genome--blunt--[9]--
0.0159,--[5]--bridge--gatc--genome-
0.0159,-genome--blunt--[2]--gatc--egdirb--genome-
0.0158,-genome--egdirb--[3]--
0.0158,-genome--egdirb--genome--bridge--gatc--egdirb--genome-
0.0154,-genome--egdirb--[2]--
0.0154,-genome--bridge--gatc--egdirb--genome--egdirb--genome-
0.0153,-tnulb--genome--blunt--genome-
0.0152,--[9]--bridge--genome-
0.0151,-genome--blunt--[5]--
0.015,-genome--[t]bridge--gatc--genome--bridge--genome-
0.015,-genome--blunt--[7]--
0.0149,-genome--bridge--gatc--[2]--tnulb--genome-
0.0147,-genome--tnulb--genome--tnulb--genome-
0.0146,-genome--bridge--genome--bridge--gatc--egdirb--genome-
0.0145,-genome--bridge--[10]--egdirb-
0.0144,-genome--[t]bridge--gatc--genome--tnulb--genome-
0.0144,--[7]--tnulb--genome-
0.0143,-bridge--gatc--genome--gatc--egdirb-
0.0143,--[11]--tnulb--genome-
0.0143,-genome--blunt--genome--bridge--gatc--egdirb--genome-
0.0141,-genome--blunt--genome--blunt--genome-
0.0141,-genome--tnulb--[9]--
0.014,--[4]--bridge--gatc--genome-
0.0139,-tnulb--genome--tnulb--genome-
0.0139,--[1]--egdirb--genome-
0.0136,-genome--bridge--[3]--egdirb-
0.0135,-genome--[t]bridge--gatc--[6]--egdirb--genome-
0.0135,--[10]--blunt--genome-
0.0135,--[1]--bridge--genome-
0.0135,-genome--bridge--[10]--egdirb--genome-
0.0135,-genome--blunt--genome--egdirb--genome--gatc--egdirb-
0.0133,-genome--blunt--[8]--
0.0131,--[9]--blunt--genome-
0.013,-genome--blunt--[11]--
0.0129,--[9]--egdirb--genome-
0.0129,-genome--tnulb--genome--bridge--gatc--egdirb--genome-
0.0128,--[8]--bridge--genome-
0.0127,--[9]--tnulb--genome-
0.0127,-genome--gatc--egdirb--blunt--genome-
0.0125,-genome--egdirb[a]--genome--gatc--egdirb-
0.0125,-genome--blunt--genome--bridge--[6]--gatc--egdirb-
0.0125,-genome--blunt--[2]--gatc--egdirb-
0.0124,-genome--tnulb--[10]--
0.0123,-tnulb--genome--egdirb-
0.0122,-genome--bridge--gatc--egdirb--genome--bridge--genome-
0.0122,-genome--bridge--gatc--egdirb--genome--tnulb--genome-
0.0118,-genome--egdirb--[10]--bridge--genome-
0.0118,-bridge--[10]--egdirb--genome-
0.0116,-genome--egdirb--genome--gatc--egdirb[a]--genome-
0.0115,-genome--blunt--[4]--
0.0114,-genome--tnulb--[11]--
0.0113,-genome--tnulb--[2]--
0.0113,--[2]--blunt--genome-
0.0112,--[7]--gatc--egdirb--genome-
0.011,-genome--blunt--[6]--
0.011,--[2]--bridge--gatc--genome-
0.0109,--[3]--tnulb--genome-
0.0108,-genome--blunt--[3]--
0.0107,--[7]--bridge--genome-
0.0107,--[3]--bridge--genome-
0.0106,-genome--bridge--gatc--egdirb--genome--blunt--genome-
0.0106,--[11]--bridge--genome-
0.0106,-genome--[t]bridge--gatc--egdirb[a]--genome-
0.0105,--[5]--tnulb--genome-
0.0105,--[7]--egdirb--genome-
0.0105,-tnulb--genome--bridge--gatc--egdirb--genome-
0.0104,-tnulb--bridge--gatc--egdirb--genome-
0.0103,--[7]--blunt--genome-
0.0103,-bridge--gatc--genome--egdirb--genome--tnulb--genome-
0.0101,-bridge--genome--egdirb[a]--genome-
0.0101,--[5]--[t]bridge--gatc--genome-
0.0101,-genome--tnulb--[8]--
0.01,-genome--blunt--genome--gatc--egdirb[a]--genome-
