Rate [%],Mask
16.893390507171375,-genome--[a]lin--ker[t]--genome-
15.651338163536893,-genome--[a]rek--nil[t]--genome-
12.81236137808665,-genome--[a]lin--ker[t]--genome--illumina--genome-
12.427916605056929,-genome--[a]rek--nil[t]--genome--illumina--genome-
10.668342451574746,-genome-
2.3806003252994237,-genome--nil[t]--genome-
2.3362413130267634,-genome--[a]lin--genome-
2.2844891320419936,-genome--ker[t]--genome-
1.988762383557593,-genome--[a]rek--genome-
1.5155995859825522,-genome--nil[t]--genome--illumina--genome-
1.5082064172704421,-genome--[a]lin--genome--illumina--genome-
1.2124796687860417,-genome--[a]rek--genome--illumina--genome-
1.0794026319680616,-genome--ker[t]--genome--illumina--genome-
0.709744196362561,-genome--illumina--genome-
0.4731627975750407,-lin--ker[t]--genome-
0.36965843560550055,-genome--[a]lin--ker[t]--genome--[a]rek--nil[t]--genome-
0.36226526689339056,-genome--[a]rek--nil[t]--genome--[a]rek--nil[t]--genome-
0.3326925920449505,-genome--[a]lin--ker[t]--genome--[a]lin--ker[t]--genome-
0.32529942333284045,-genome--[a]rek--nil[t]--genome--illumina--[2]--
0.31790625462073047,-genome--[a]rek--nil[t]--genome--[a]lin--ker[t]--genome-
0.2883335797722904,-genome--[a]rek--nil--genome-
0.2661540736359604,-genome--[a]lin--ker[t]--genome--illumina--[2]--
0.2587609049238504,-genome--[a]rek--nil[t]--genome--illumina--[5]--
0.25136773621174036,-genome--nil--genome-
0.24397456749963037,-genome--[a]lin--ker[t]--genome--illumina--[5]--
0.2070087239390803,-lin--ker[t]--genome--[a]lin--ker[t]--genome-
0.1996155552269703,-genome--[a]rek--nil[t]--genome--illumina--[11]--
0.17743604909064026,-genome--rek--nil[t]--genome-
0.17004288037853024,-genome--[a]rek--nil[t]--genome--illumina--[7]--
0.17004288037853024,-genome--[a]lin--ker[t]--genome--illumina--[9]--
0.17004288037853024,-genome--[a]lin--ker[t]--genome--illumina--[1]--
0.17004288037853024,-genome--[a]rek--nil[t]--genome--illumina--[1]--
0.17004288037853024,-genome--[a]rek--nil[t]--genome--illumina--[10]--
0.16264971166642023,-genome--[a]lin--ker--genome-
0.16264971166642023,-genome--[a]lin--ker[t]--genome--illumina--[7]--
0.16264971166642023,-genome--[a]rek--nil[t]--genome--illumina--[4]--
0.16264971166642023,-genome--[a]rek--nil[t]--genome--illumina--[9]--
0.15525654295431024,-genome--[a]lin--ker[t]--genome--illumina--[4]--
0.15525654295431024,-genome--[a]lin--ker[t]--genome--illumina--[8]--
0.14786337424220022,-genome--[a]lin--ker[t]--genome--[a]rek--nil[t]--genome--illumina--genome-
0.14786337424220022,-genome--[a]lin--ker[t]--genome--[a]lin--ker[t]--genome--illumina--genome-
0.1404702055300902,-genome--[a]rek--nil[t]--genome--illumina-
0.1404702055300902,-genome--[a]rek--nil[t]--genome--illumina--[8]--
0.1404702055300902,-lin--ker[t]--genome--[a]rek--nil[t]--genome-
0.1330770368179802,-genome--[a]lin--ker[t]--genome--illumina--[10]--
0.1330770368179802,-genome--[a]lin--ker[t]--genome--illumina-
0.1330770368179802,-genome--lin--ker[t]--genome-
0.12568386810587018,-genome--[a]rek--nil[t]--genome--[a]lin--ker[t]--genome--illumina--genome-
0.12568386810587018,-genome--[a]lin--[4]--
0.11089753068165016,-genome--ker--genome-
0.11089753068165016,-genome--rek--nil[t]--genome--illumina--genome-
0.11089753068165016,-genome--[a]lin--ker[t]--genome--illumina--[11]--
0.11089753068165016,-genome--[a]rek--nil[t]--genome--[a]rek--nil[t]--genome--illumina--genome-
0.10350436196954015,-genome--[a]lin--ker--genome--illumina--genome-
0.10350436196954015,-genome--[a]rek--nil[t]--genome--[a]rek--nil--illumina--genome-
0.09611119325743014,-genome--[a]rek--nil--illumina--genome-
0.09611119325743014,-genome--[a]rek--[5]--
0.09611119325743014,-genome--[a]lin--genome--[a]lin--ker[t]--genome-
0.09611119325743014,--[8]--ker[t]--genome-
0.08871802454532013,-lin--ker[t]--genome--[a]lin--ker[t]--genome--illumina--genome-
0.08871802454532013,-genome--rek--genome-
0.08871802454532013,-genome--[a]lin--[8]--
0.08871802454532013,-lin--ker[t]--genome--illumina--genome-
0.07393168712110011,-genome--ker[t]--genome--[a]rek--nil[t]--genome-
0.07393168712110011,-genome--lin--ker[t]--genome--illumina--genome-
0.07393168712110011,-lin--ker[t]--genome--[a]rek--nil[t]--genome--illumina--genome-
0.07393168712110011,-genome--[a]rek--nil--genome--illumina--genome-
0.07393168712110011,-genome--[a]rek--nil[t]--genome--[a]rek--genome-
0.0665385184089901,-lin--genome-
0.05914534969688009,-genome--[a]lin--genome--illumina--[2]--
0.05914534969688009,-genome--[a]rek--nil[t]--[11]--
0.05914534969688009,-genome--[a]rek--nil[t]--[10]--
0.05914534969688009,-rek--nil[t]--genome--[a]rek--nil[t]--genome-
0.05914534969688009,--[9]--ker[t]--genome-
0.05914534969688009,-genome--[a]rek--nil[t]--[5]--
0.05914534969688009,-genome--[a]lin--ker[t]--[6]--
0.05914534969688009,-genome--[a]lin--ker[t]--genome--[a]lin--genome-
0.05175218098477007,-genome--[a]rek--genome--[a]rek--nil[t]--genome-
0.05175218098477007,-genome--[a]rek--nil[t]-
0.05175218098477007,-genome--[a]rek--nil-
0.05175218098477007,-genome--[a]rek--nil[t]--genome--nil[t]--genome-
0.05175218098477007,-genome--[a]lin--[2]--
0.05175218098477007,-genome--[a]rek--nil[t]--[8]--
0.05175218098477007,-genome--nil[t]--genome--illumina--[5]--
0.044359012272660064,-genome--[a]lin--genome--illumina--[8]--
0.044359012272660064,-genome--[a]rek--[7]--
0.044359012272660064,-rek--nil[t]--genome-
0.044359012272660064,--[7]--ker[t]--genome-
0.044359012272660064,-genome--[a]lin--genome--[a]rek--nil[t]--genome-
0.044359012272660064,-genome--[a]lin--ker[t]--[5]--
0.044359012272660064,-genome--[a]rek--nil[t]--[6]--
0.044359012272660064,-genome--nil[t]--genome--[a]lin--ker[t]--genome-
0.044359012272660064,-genome--[a]rek--nil[t]--genome--ker[t]--genome-
