Rate [%],Mask
14.578208652872231,-genome-
10.636425022910336,-genome--[a]lin--ker[t]--genome--illumina--genome-
10.513432691843919,-genome--[a]rek--nil[t]--genome--illumina--genome-
7.861862730912072,-genome--[a]lin--ker[t]--genome-
7.371099213813727,-genome--[a]rek--nil[t]--genome-
5.708291130082477,-lin--ker[t]--genome--illumina--genome-
5.468335503786234,-genome--[a]rek--nil--illumina--genome-
3.0844547339989385,-lin--ker[t]--genome-
2.0221386195919546,-genome--illumina--genome-
1.24559880383929,-genome--[a]rek--genome-
1.1985723243138957,-genome--nil[t]--genome-
1.166015530796315,-genome--nil[t]--genome--illumina--genome-
1.1611923021270438,-genome--[a]lin--genome--illumina--genome-
1.1455168089519123,-genome--[a]lin--genome-
0.9489702406791105,-genome--ker[t]--genome--illumina--genome-
0.9489702406791105,-genome--ker[t]--genome-
0.8633579317995466,-genome--[a]rek--genome--illumina--genome-
0.7403656007331307,-genome--[a]rek--[8]--illumina--genome-
0.6945449283750542,--[8]--ker[t]--genome--illumina--genome-
0.6740462065306516,-genome--nil--illumina--genome-
0.6004919693242656,-lin--genome--illumina--genome-
0.5751700188105918,-genome--[a]rek--nil--genome-
0.4039454010514638,-genome--[a]rek--[7]--illumina--genome-
0.4015337867168282,-lin--genome-
0.39791636521487483,--[8]--ker[t]--genome-
0.37259441470120097,--[7]--ker[t]--genome--illumina--genome-
0.31833309217189987,-genome--[a]lin--ker--illumina--genome-
0.28939372015627257,-rek--nil[t]--genome--illumina--genome-
0.27974726281773016,-lin--ker[t]--genome--[a]lin--ker[t]--genome--illumina--genome-
0.26286596247528093,-genome--nil--genome-
0.2435730477981961,-genome--[a]rek--nil[t]--genome--[a]rek--nil--illumina--genome-
0.23030916895770026,-lin--ker[t]--genome--[a]rek--nil[t]--genome--illumina--genome-
0.23030916895770026,-genome--[a]lin--ker[t]--genome--[a]rek--nil[t]--genome-
0.22307432595379345,-genome--[a]lin--ker[t]--genome--[a]rek--nil--illumina--genome-
0.21704529011720444,-lin--ker[t]--genome--[a]lin--ker[t]--genome-
0.21342786861525104,-genome--[a]rek--[9]--illumina--genome-
0.20981044711329763,--[7]--ker[t]--genome-
0.20619302561134423,-lin--ker[t]--genome--[a]rek--nil[t]--genome-
0.20016398977475522,-genome--[a]rek--nil[t]--genome--[a]lin--ker[t]--genome-
0.19895818260743742,-genome--[a]lin--ker[t]--genome--[a]lin--ker[t]--genome-
0.1965465682728018,-genome--[a]rek--nil[t]--genome--[a]rek--nil[t]--genome-
0.18328268943230597,-genome--[a]rek--[6]--illumina--genome-
0.18328268943230597,-genome--[a]lin--ker[t]--genome--illumina--[5]--
0.17966526793035256,--[9]--ker[t]--genome-
0.17845946076303476,-genome--[a]rek--nil[t]--genome--illumina--[5]--
0.17725365359571696,-genome--[a]rek--[5]--illumina--genome-
0.17122461775912795,--[5]--ker[t]--genome--illumina--genome-
0.16157816042058554,--[9]--ker[t]--genome--illumina--genome-
0.15193170308204312,-genome--[a]lin--ker[t]--genome--[a]lin--ker[t]--genome--illumina--genome-
0.1471084744127719,--[6]--ker[t]--genome--illumina--genome-
0.1459026672454541,-genome--[a]rek--nil[t]--genome--illumina--[2]--
0.14228524574350068,-genome--[a]lin--ker[t]--genome--illumina--[2]--
0.12781555973568706,-genome--[a]lin--[8]--illumina--genome-
0.12660975256836926,-genome--[a]lin--ker[t]--genome--[a]rek--nil[t]--genome--illumina--genome-
0.12660975256836926,-rek--nil[t]--genome-
0.12299233106641586,--[4]--ker[t]--genome--illumina--genome-
0.12178652389909805,-genome--[a]rek--[4]--illumina--genome-
0.12178652389909805,-genome--[a]rek--nil[t]--genome--[a]rek--nil[t]--genome--illumina--genome-
0.11455168089519123,-genome--[a]rek--nil--genome--illumina--genome-
0.10972845222592002,--[5]--ker[t]--genome-
0.10490522355664882,--[6]--ker[t]--genome-
0.10369941638933101,--[4]--ker[t]--genome-
0.09887618772005981,-genome--[a]rek--[7]--
0.097670380552742,--[8]--nil[t]--genome--illumina--genome-
0.097670380552742,-genome--[a]rek--nil[t]--genome--[a]lin--ker[t]--genome--illumina--genome-
0.09525876621810639,-genome--[a]rek--nil[t]--genome--illumina--[4]--
0.09405295905078859,-genome--[a]rek--[5]--
0.09405295905078859,-genome--[a]lin--ker[t]--genome--illumina--[9]--
0.09284715188347079,-genome--[a]rek--nil[t]--genome--illumina--[8]--
0.09164134471615298,-genome--[a]rek--nil[t]--genome--illumina--[10]--
0.08922973038151738,-genome--[a]rek--nil[t]--genome--illumina--[9]--
0.08802392321419958,-genome--[a]rek--nil[t]--genome--illumina--[11]--
0.08681811604688178,-genome--[a]lin--ker[t]--genome--illumina--[7]--
0.08681811604688178,-genome--[a]lin--ker[t]--genome--illumina--[10]--
0.08561230887956398,-genome--rek--nil[t]--genome-
0.08320069454492837,-genome--[a]lin--ker[t]--genome--illumina--[11]--
0.08199488737761057,-genome--[a]rek--nil[t]--genome--illumina-
0.08199488737761057,-genome--[a]lin--ker[t]--genome--illumina--[8]--
0.08078908021029277,-genome--rek--genome-
0.08078908021029277,-genome--[a]rek--nil[t]--genome--illumina--[1]--
0.07596585154102156,-genome--[a]lin--ker[t]--genome--illumina--[4]--
0.07355423720638594,-genome--[a]lin--ker[t]--genome--illumina--[1]--
0.06873100853711474,-genome--rek--nil[t]--genome--illumina--genome-
0.06873100853711474,-genome--[a]rek--nil[t]--genome--illumina--[7]--
0.06752520136979694,-lin--ker[t]--genome--illumina--[5]--
0.06752520136979694,-genome--[a]rek--[2]--illumina--genome-
0.06631939420247913,-lin--ker[t]--genome--illumina--[2]--
0.06511358703516133,-genome--[a]lin--ker[t]--genome--illumina-
0.06270197270052573,-genome--[a]rek--[1]--
