Rate [%],Mask
12.622389427482757,-genome-
11.300824772102445,-genome--[a]lin--ker[t]--genome--illumina--genome-
11.144069840351131,-genome--[a]rek--nil[t]--genome--illumina--genome-
8.617903824820335,-genome--[a]lin--ker[t]--genome-
7.211932667727776,-genome--[a]rek--nil[t]--genome-
5.866251869001109,-lin--ker[t]--genome--illumina--genome-
5.740847923600057,-genome--[a]rek--nil--illumina--genome-
2.9795495104422898,-lin--ker[t]--genome-
1.8882940240196786,-genome--illumina--genome-
1.1648097236289972,-genome--nil[t]--genome--illumina--genome-
1.032170935224039,-genome--[a]lin--genome--illumina--genome-
0.9284715188347079,-genome--nil[t]--genome-
0.9019437611537162,-genome--[a]lin--genome-
0.891091496647856,-genome--[a]rek--genome-
0.8549172816283219,-genome--ker[t]--genome--illumina--genome-
0.8344185597839193,-lin--genome--illumina--genome-
0.8211546809434235,-genome--ker[t]--genome-
0.8151256451068345,--[8]--ker[t]--genome--illumina--genome-
0.7946269232624318,-genome--[a]rek--genome--illumina--genome-
0.7078088072155501,-genome--[a]rek--[8]--illumina--genome-
0.6270197270052573,-genome--nil--illumina--genome-
0.5293493464525153,-lin--genome-
0.4979983601022524,--[8]--ker[t]--genome-
0.4485602662422225,--[7]--ker[t]--genome--illumina--genome-
0.41238605122268845,-genome--[a]lin--ker[t]--genome--illumina--[9]--
0.4063570153860994,-genome--[a]rek--nil--genome-
0.3894757150436502,-genome--[a]rek--nil[t]--genome--illumina--[9]--
0.3750060290358366,-genome--[a]rek--[7]--illumina--genome-
0.31953889933921764,-rek--nil[t]--genome--illumina--genome-
0.3026575989967684,--[7]--ker[t]--genome-
0.30145179182945064,-genome--[a]lin--ker--illumina--genome-
0.27733564848309455,-genome--[a]rek--nil[t]--genome--[a]rek--nil--illumina--genome-
0.2761298413157768,-lin--ker[t]--genome--[a]lin--ker[t]--genome--illumina--genome-
0.2435730477981961,-genome--[a]lin--ker[t]--genome--[a]rek--nil--illumina--genome-
0.2387498191289249,-lin--ker[t]--genome--[a]rek--nil[t]--genome--illumina--genome-
0.2375440119616071,-genome--[a]lin--ker[t]--genome--[a]lin--ker[t]--genome-
0.2375440119616071,-genome--[a]lin--ker[t]--genome--[a]rek--nil[t]--genome-
0.21463367578256884,-lin--ker[t]--genome--[a]lin--ker[t]--genome-
0.21101625428061543,-genome--[a]rek--nil[t]--genome--illumina--[6]--
0.1965465682728018,-genome--[a]lin--ker[t]--genome--illumina--[4]--
0.19292914677084838,--[6]--ker[t]--genome--illumina--genome-
0.19292914677084838,-genome--[a]lin--ker[t]--genome--illumina--[6]--
0.19172333960353058,-genome--[a]rek--nil[t]--genome--[a]rek--nil[t]--genome-
0.18569430376694157,-genome--[a]lin--ker[t]--genome--illumina--[2]--
0.18448849659962377,-genome--[a]rek--nil[t]--genome--illumina--[4]--
0.17966526793035256,-genome--[a]rek--[5]--illumina--genome-
0.17966526793035256,--[5]--ker[t]--genome--illumina--genome-
0.17845946076303476,-genome--[a]rek--nil[t]--genome--[a]lin--ker[t]--genome-
0.17363623209376355,-lin--ker[t]--genome--[a]rek--nil[t]--genome-
0.17122461775912795,-genome--[a]rek--nil[t]--genome--illumina--[2]--
0.16157816042058554,-genome--[a]rek--nil[t]--genome--[a]rek--nil[t]--genome--illumina--genome-
0.15675493175131433,-rek--nil[t]--genome-
0.15554912458399653,-genome--[a]rek--[6]--illumina--genome-
0.15193170308204312,-genome--[a]rek--nil--illumina--[9]--
0.14228524574350068,--[4]--ker[t]--genome--illumina--genome-
0.13505040273959387,-lin--ker[t]--genome--illumina--[9]--
0.13263878840495827,-genome--nil--genome-
0.13263878840495827,-genome--[a]lin--ker[t]--genome--[a]lin--ker[t]--genome--illumina--genome-
0.13022717407032267,-genome--[a]rek--[9]--illumina--genome-
0.12902136690300486,-genome--[a]lin--ker[t]--genome--[a]rek--nil[t]--genome--illumina--genome-
