Rate [%],Mask
50.5213,-genome-
41.5311,-genome--illumina--genome-
0.9113,-genome--egdirb--genome-
0.818,-genome--bridge--genome-
0.4739,-genome--illumina--[8]--
0.4706,-genome--illumina--[9]--
0.4618,-genome--egdirb--genome--illumina--genome-
0.4544,-genome--illumina--[5]--
0.4513,-genome--illumina--[7]--
0.4414,-genome--illumina--[4]--
0.4383,-genome--illumina--[3]--
0.4335,-genome--illumina--[6]--
0.4195,-genome--illumina--[1]--
0.419,-genome--illumina--[2]--
0.4062,-genome--illumina-
0.3969,-genome--bridge--genome--illumina--genome-
0.0213,-genome--egdirb--genome--bridge--genome--illumina--genome-
0.019,-genome--egdirb--genome--egdirb--genome-
0.0175,-genome--egdirb--genome--bridge--genome-
0.0144,-genome--bridge--genome--bridge--genome-
0.0113,-genome--illumina--genome--illumina--genome-
0.011,-egdirb--genome-
0.01,--[9]--egdirb--genome--illumina--genome-
