count,mask
0.0203,-genome--bridge--gatc--egdirb--genome--gatc--[6]--
0.0201,-genome--gatc--[10]--gatc--genome-
0.0198,-egdirb--bridge--[4]--gatc--genome-
0.0195,-genome--bridge--genome--bridge--gatc--egdirb--genome-
0.0195,--[8]--gatc--genome--bridge--gatc--egdirb--genome-
0.0195,-genome--egdirb--[2]--
0.0194,--[5]--gatc--egdirb--genome-
0.0194,-genome--bridge--[5]--
0.0193,-genome--egdirb--genome--bridge--gatc--egdirb--genome-
0.0192,--[2]--bridge--gatc--egdirb--genome-
0.0192,-genome--gatc--egdirb--bridge--gatc--egdirb--genome-
0.0191,-genome--bridge--gatc--egdirb--genome--gatc--[4]--
0.019,-bridge--gatc--bridge--genome-
0.019,-genome--bridge--gatc--egdirb--genome--gatc--[3]--
0.0188,-genome--bridge--gatc--egdirb--[2]--gatc--genome-
0.0186,-genome--gatc--[8]--bridge--gatc--egdirb--genome-
0.0184,--[10]--gatc--genome--bridge--gatc--egdirb--genome-
0.0184,-genome--bridge--gatc--egdirb--genome--gatc--[9]--
0.0181,-genome--bridge--gatc--egdirb--genome--gatc--[7]--
0.0181,-genome--bridge--gatc--egdirb--[5]--gatc--genome-
0.0179,-genome--egdirb--[4]--
0.0178,--[5]--bridge--gatc--egdirb--genome-
0.0178,--[2]--gatc--genome--bridge--gatc--egdirb--genome-
0.0177,-genome--bridge--[6]--
0.0177,--[8]--bridge--gatc--egdirb--genome-
0.0176,--[3]--bridge--gatc--egdirb--genome-
0.0175,-genome--bridge--gatc--egdirb--genome--gatc--[8]--
0.0174,-bridge--[3]--egdirb--genome-
0.0174,-genome--gatc--[9]--bridge--gatc--egdirb--genome-
0.0172,--[9]--bridge--gatc--egdirb--genome-
0.0171,-genome--bridge--gatc--egdirb--genome--gatc--[10]--
0.017,-genome--bridge--[10]--
0.0169,-egdirb--bridge--[7]--gatc--genome-
0.0165,-egdirb--bridge--genome--bridge--gatc--egdirb--genome-
0.0164,-genome--egdirb--[3]--
0.0164,--[8]--bridge--genome-
0.0164,--[9]--gatc--genome--bridge--gatc--egdirb--genome-
0.0164,--[4]--gatc--egdirb--genome-
0.0163,-egdirb--genome--bridge--gatc--[4]--
0.0161,-genome--bridge--gatc--egdirb--genome--gatc--[5]--
0.0161,-genome--gatc--[10]--bridge--gatc--egdirb--genome-
0.016,--[4]--bridge--gatc--egdirb--genome-
0.0159,-egdirb--genome--bridge-
0.0158,-egdirb--bridge--genome--gatc--[4]--
0.0156,-egdirb--bridge--gatc--egdirb--bridge--gatc--genome-
0.0154,-genome--bridge--gatc--egdirb--genome--egdirb--genome-
0.0154,-genome--egdirb-
0.0152,-genome--egdirb--[5]--
0.0151,--[3]--bridge--genome-
0.015,-egdirb--genome--bridge--[3]--
0.0149,-egdirb--genome--bridge--[2]--
0.0148,-genome--egdirb--[1]--
0.0148,-egdirb--genome--bridge--gatc--egdirb--[5]--
0.0147,-genome--gatc--[3]--bridge--gatc--egdirb--genome-
0.0147,-egdirb--genome--bridge--gatc--egdirb--[2]--
0.0147,-genome--bridge--gatc--egdirb--[8]--gatc--genome-
0.0146,-egdirb--bridge--genome--gatc--[10]--
0.0146,-genome--egdirb--[6]--
0.0145,-genome--gatc--[4]--bridge--gatc--egdirb--genome-
0.0144,-egdirb--bridge--genome--gatc--[8]--
0.0144,-genome--bridge--gatc--egdirb--[4]--gatc--genome-
0.0144,-genome--bridge--gatc--egdirb--genome--bridge--genome-
0.0143,-egdirb--genome--bridge--gatc--egdirb--[9]--
0.0143,-egdirb--genome--bridge--[1]--
0.0143,-genome--bridge--gatc--egdirb--[9]--gatc--genome-
0.0141,-egdirb--bridge--genome--gatc--[6]--
0.0141,-egdirb--bridge--[3]--gatc--genome-
0.014,-egdirb--genome--bridge--gatc--[5]--
0.014,-egdirb--genome--bridge--gatc--[6]--
0.0139,-egdirb--[7]--gatc--egdirb--genome-
0.0139,-genome--bridge--gatc--egdirb--[10]--gatc--genome-
0.0139,-egdirb--genome--bridge--gatc--egdirb--[4]--
0.0139,-egdirb--bridge--genome--gatc--[5]--
0.0138,-egdirb--bridge--genome--gatc--[9]--
0.0138,-egdirb--genome--bridge--gatc--egdirb--[3]--
0.0136,-genome--bridge--gatc--egdirb--[3]--gatc--genome-
0.0135,-egdirb--bridge--genome--gatc--[3]--
0.0134,-egdirb--genome--bridge--gatc--[3]--
0.0134,-egdirb--bridge--[6]--gatc--genome-
0.0134,-egdirb--bridge--[4]--egdirb--genome-
0.0134,-egdirb--bridge--genome--gatc--[2]--
0.0131,-genome--egdirb--bridge--gatc--genome-
0.0131,-genome--gatc--egdirb--bridge--genome-
0.013,-egdirb--bridge--genome--gatc--[1]--
0.0129,-egdirb--genome--gatc--[1]--
0.0128,-egdirb--genome--bridge--gatc--egdirb-
0.0127,--[4]--bridge--genome-
0.0126,-egdirb--genome--bridge--gatc--egdirb--[6]--
0.0125,-egdirb--genome--bridge--gatc--egdirb--[10]--
0.0125,-egdirb--bridge--[9]--gatc--genome-
0.0124,-egdirb--bridge--[8]--gatc--genome-
0.0124,-egdirb--bridge--genome--gatc--[7]--
0.0123,-egdirb--genome--bridge--gatc--egdirb--[7]--
0.0123,-genome--bridge--gatc--[9]--
0.0121,-egdirb--genome--bridge--gatc--egdirb--[8]--
0.0121,-genome--bridge--gatc--egdirb--genome--bridge--gatc--egdirb--genome-
0.012,-egdirb--genome--bridge--gatc-
0.0118,-genome--bridge--gatc--egdirb--bridge--[3]--
0.0116,-egdirb--genome--bridge--gatc--[1]--
0.0113,-genome--bridge--gatc--egdirb--bridge--[1]--
0.0113,-genome--egdirb--[10]--
0.0112,-genome--bridge--gatc--[7]--
0.0112,-genome--egdirb--[8]--
0.011,-egdirb--genome--bridge--gatc--egdirb--[1]--
0.011,--[10]--bridge--genome-
0.011,-genome--egdirb--[9]--
0.0109,-bridge--gatc--bridge--gatc--genome-
0.0109,-egdirb--genome--bridge--gatc--[2]--
0.0108,-egdirb--genome--bridge--[3]--egdirb--genome-
0.0108,-genome--bridge--gatc--bridge--gatc--egdirb--genome-
0.0108,-egdirb--bridge--gatc--genome--bridge--genome-
0.0108,-egdirb--bridge--[10]--gatc--genome-
0.0107,-egdirb--[1]--gatc--genome-
0.0106,-genome--bridge--gatc--[10]--
0.0106,-genome--egdirb--[7]--
0.0106,--[1]--egdirb--genome-
0.0103,--[2]--bridge--gatc--genome-
0.01,-egdirb--bridge--gatc--genome--egdirb--genome-
0.01,-genome--bridge--gatc--[8]--
