Rate [%],Mask
0.021189093395744846,--[8]--ker[t]--[a]rek--nil[t]--genome-
0.021189093395744846,--[8]--ker[t]--rek--nil--genome-
0.020868046526112346,--[5]--nil--genome-
0.020868046526112346,--[8]--ker[t]--[a]rek--nil--genome-
0.02054699965647985,--[9]--[a]rek--nil[t]--genome-
0.020225952786847353,--[3]--ker[t]--[a]rek--nil[t]--genome-
0.020225952786847353,--[5]--ker--genome-
0.020225952786847353,--[3]--ker[t]--[a]rek--nil--genome-
0.020225952786847353,--[10]--[a]rek--nil[t]--genome-
0.019904905917214853,--[6]--[a]rek--nil[t]--genome-
0.019904905917214853,--[4]--nil--lin--ker[t]--genome-
0.019904905917214853,--[8]--nil--[8]--ker[t]--genome-
0.019904905917214853,--[7]--[a]rek--nil[t]--genome-
0.019904905917214853,-[a]rek--nil[t]--genome-
0.019583859047582357,--[5]--lin--ker[t]--genome-
0.019583859047582357,-genome--[a]lin--ker--genome-
0.019583859047582357,-lin--ker[t]--[8]--nil[t]--genome-
0.019583859047582357,--[11]--lin--ker[t]--genome-
0.018620718438684864,-lin--[7]--[a]rek--nil[t]--genome-
0.018620718438684864,--[11]--[a]rek--nil[t]--genome-
0.018620718438684864,--[3]--nil[t]--genome-
0.017978624699419868,--[7]--ker[t]--[a]rek--nil--genome-
0.017978624699419868,--[9]--lin--ker[t]--genome-
0.017978624699419868,--[3]--lin--ker[t]--genome-
0.01765757782978737,-lin--ker[t]--[a]rek--genome-
0.01765757782978737,--[1]--lin--ker[t]--genome-
0.017336530960154875,--[5]--ker[t]--[a]rek--nil[t]--genome-
0.017015484090522375,--[7]--ker[t]--rek--nil--genome-
0.017015484090522375,-rek--[8]--lin--genome-
0.01637339035125738,-rek--nil--rek--nil--rek--nil[t]--genome-
0.01637339035125738,-rek--nil--[a]rek--nil--genome-
0.01637339035125738,-lin--[8]--[a]rek--nil--genome-
0.015731296611992386,--[8]--nil--lin--genome-
0.015731296611992386,-genome--rek--genome-
0.015731296611992386,--[1]--[a]rek--nil[t]--genome-
0.015731296611992386,-rek--genome--ker[t]--genome-
0.015731296611992386,--[5]--ker[t]--[a]rek--nil--genome-
0.015731296611992386,--[4]--lin--ker[t]--genome-
0.015410249742359888,--[1]--nil--lin--ker[t]--genome-
0.015410249742359888,-rek--nil--lin--ker--lin--ker[t]--genome-
0.015410249742359888,-lin--[9]--lin--ker[t]--genome-
0.014768156003094892,-rek--nil--lin--ker--[a]lin--ker[t]--genome-
0.014768156003094892,--[5]--ker--[a]rek--nil--genome-
0.014768156003094892,-genome--lin--ker--lin--ker[t]--genome-
0.014768156003094892,-lin--ker--[a]lin--ker--genome-
0.014447109133462395,--[4]--ker--genome-
0.014447109133462395,--[8]--nil[t]--rek--nil--genome-
0.014126062263829897,-rek--nil--lin--ker--[a]rek--nil--genome-
0.014126062263829897,--[2]--nil--lin--ker[t]--genome-
0.014126062263829897,-lin--[9]--[a]rek--nil[t]--genome-
0.014126062263829897,-lin--[7]--lin--ker[t]--genome-
0.013483968524564901,-lin--ker--lin--ker--genome-
0.013483968524564901,--[5]--ker--[a]rek--nil[t]--genome-
0.013162921654932404,-lin--ker[t]--[8]--nil--genome-
0.013162921654932404,-lin--ker--[a]rek--nil--lin--ker[t]--genome-
0.013162921654932404,-lin--[9]--rek--nil[t]--genome-
0.013162921654932404,-lin--ker--[9]--nil[t]--genome-
0.013162921654932404,-rek--nil--lin--ker--[a]rek--nil[t]--genome-
0.013162921654932404,--[8]--nil[t]--rek--nil[t]--genome-
0.012841874785299906,-rek--nil--genome--lin--ker[t]--genome-
0.012841874785299906,--[7]--ker--[a]lin--ker[t]--genome-
0.012841874785299906,-lin--ker[t]--[9]--nil[t]--genome-
0.012520827915667408,--[4]--ker[t]--[a]rek--nil--genome-
0.012520827915667408,-lin--[7]--[a]rek--nil--genome-
0.012520827915667408,--[6]--nil--genome-
0.01219978104603491,-lin--ker[t]--[7]--nil--genome-
0.01219978104603491,-genome--ker--genome-
0.01219978104603491,--[6]--ker--[a]rek--nil[t]--genome-
0.011878734176402414,--[4]--ker[t]--[a]rek--nil[t]--genome-
0.011878734176402414,-rek--nil--[8]--nil--lin--ker[t]--genome-
0.011557687306769916,-rek--nil[t]--rek--nil--lin--ker[t]--genome-
0.011557687306769916,--[4]--nil--genome-
0.011557687306769916,--[6]--ker--lin--ker[t]--genome-
0.011557687306769916,--[8]--nil--[8]--nil[t]--genome-
0.011557687306769916,-genome--[a]rek--nil--lin--ker[t]--genome-
0.011557687306769916,--[7]--nil--[8]--ker[t]--genome-
0.011236640437137417,--[3]--ker--[a]rek--nil[t]--genome-
0.011236640437137417,-lin--genome--nil[t]--genome-
0.010915593567504921,-lin--ker--[8]--ker[t]--genome-
0.010915593567504921,-lin--ker--[9]--ker[t]--genome-
0.010915593567504921,-rek--nil--lin--ker[t]--[a]rek--nil[t]--genome-
0.010915593567504921,--[10]--lin--ker[t]--genome-
0.010915593567504921,-lin--[8]--[a]lin--ker[t]--genome-
0.010915593567504921,-lin--genome--nil--genome-
0.010594546697872423,--[2]--ker--genome-
0.010594546697872423,-lin--ker[t]--[9]--nil--genome-
0.010594546697872423,-lin--ker[t]--[a]rek--nil--lin--ker[t]--genome-
0.010273499828239925,-lin--ker--rek--nil[t]--genome-
