count,mask
0.0276,-bridge--genome--blunt--genome--egdirb--genome-
0.0273,-genome--egdirb--[6]--
0.027,-genome--bridge--[7]--
0.0268,-genome--bridge--gatc--tnulb--genome-
0.0267,-bridge--gatc--genome--blunt--genome--egdirb--genome-
0.0266,-bridge--genome--blunt-
0.0263,--[4]--egdirb--genome-
0.0259,-genome--egdirb--[1]--
0.0258,--[5]--bridge--genome-
0.0256,-genome--bridge--genome--bridge--gatc--egdirb-
0.0253,-genome--[t]bridge--gatc--egdirb-
0.0252,--[8]--egdirb--genome-
0.0252,-genome--bridge--genome--egdirb--genome-
0.0242,-genome--tnulb--genome--gatc--egdirb-
0.0233,-genome--egdirb--genome--bridge--genome-
0.0232,--[9]--bridge--genome-
0.0231,--[1]--tnulb--genome-
0.0229,-genome--egdirb--[7]--
0.0228,-genome--egdirb--[3]--
0.0227,-genome--egdirb--[5]--
0.0222,-genome--egdirb--[11]--
0.0217,-genome--blunt--[10]--
0.0217,--[8]--tnulb--genome-
0.0216,-genome--egdirb--[9]--
0.0213,-genome--bridge--gatc--[8]--
0.0213,--[6]--egdirb--genome-
0.0212,-genome--bridge--gatc--egdirb[a]-
0.0211,-genome--blunt--[1]--
0.021,-genome--tnulb--genome--bridge--genome-
0.0209,-genome--bridge--gatc--genome--egdirb--genome-
0.0208,-bridge--gatc--genome--[t]bridge--genome-
0.0207,-genome--egdirb--[10]--
0.0207,--[11]--egdirb--genome-
0.0207,-genome--bridge--genome--blunt--genome-
0.0206,-genome--egdirb--[4]--
0.0205,-bridge--genome--[t]bridge--genome-
0.0205,--[1]--bridge--genome-
0.0204,--[8]--bridge--genome-
0.0203,-genome--bridge--gatc--egdirb[a]--[1]--
0.0201,-genome--gatc--egdirb--blunt-
0.0201,-bridge--gtc--tnulb--genome-
0.0201,-genome--egdirb--genome--bridge--gatc--egdirb-
0.0198,-genome--tnulb--genome--blunt--genome-
0.0198,-genome--tnulb--[10]--
0.0198,-genome--bridge--genome--bridge--gatc--genome-
0.0198,-tnulb--genome--blunt--genome-
0.0194,--[7]--bridge--gatc--genome-
0.0194,-blunt--gac--genome-
0.0193,-bridge--gatc--genome--egdirb[a]--genome-
0.0192,-genome--bridge--gatc--[5]--bridge--genome-
0.0191,-bridge--gatc--[7]--egdirb--genome-
0.019,-genome--egdirb--genome--bridge--gatc--genome-
0.0189,-genome--egdirb--[8]--
0.0189,--[9]--egdirb--genome-
0.0188,--[3]--tnulb--genome-
0.0188,-genome--bridge--gatc--[9]--
0.0187,--[5]--bridge--gatc--genome-
0.0186,--[1]--bridge--gatc--genome-
0.0185,-bridge--gatc--genome--bridge--genome--tnulb--genome-
0.0185,-genome--tnulb--genome--egdirb--genome-
0.0183,-genome--bridge--gatc--[11]--
0.018,-bridge--genome--bridge--genome--tnulb--genome-
0.0179,--[7]--tnulb--genome-
0.0179,-bridge--gatc--genome--blunt-
0.0178,-bridge--genome--egdirb[a]--genome-
0.0176,--[2]--tnulb--genome-
0.0174,-genome--bridge--gatc--[10]--
0.0174,-tnulb--genome--tnulb--genome-
0.0174,--[8]--bridge--gatc--genome-
0.0173,-genome--bridge--genome--gatc--egdirb--genome-
0.0172,-bridge--gatc--egdirb--genome--blunt--genome--egdirb--genome-
0.0172,--[9]--blunt--genome-
0.0171,--[9]--tnulb--genome-
0.0169,-genome--gatc--egdirb--[1]--
0.0169,-genome--tnulb--genome--bridge--gatc--genome-
0.0169,-genome--blunt--[9]--
0.0167,--[4]--bridge--genome-
0.0165,-genome--egdirb--genome--blunt--genome-
0.0164,--[3]--bridge--genome-
0.0164,-genome--blunt--gac--genome-
0.0164,-genome--bridge--gatc--egdirb--blunt--genome-
0.0163,-genome--blunt--[2]--
0.016,-genome--tnulb--[2]--
0.016,--[1]--egdirb--genome-
0.0158,-genome--blunt--[3]--
0.0158,-genome--blunt--[11]--
0.0156,-genome--tnulb--genome--bridge--gatc--egdirb-
0.0156,-genome--blunt--[8]--
0.0154,-genome--tnulb--[3]--
0.0153,-genome--blunt--[5]--
0.0153,-genome--gatc--egdirb--genome--egdirb--genome-
0.0152,--[11]--tnulb--genome-
0.0152,--[10]--egdirb--genome-
0.0151,-genome--tnulb--[11]--
0.0151,-genome--tnulb--[4]--
0.0149,-genome--tnulb--genome--tnulb--genome-
0.0147,--[2]--blunt--genome-
0.0146,--[11]--blunt--genome--egdirb--genome-
0.0146,--[4]--blunt--genome-
0.0146,--[10]--bridge--genome-
0.0143,-genome--blunt--genome--bridge--gatc--egdirb-
0.0142,-genome--tnulb--[8]--
0.0142,-genome--tnulb--[1]--
0.014,--[6]--blunt--genome-
0.014,-tnulb--genome--gatc--egdirb-
0.0138,-genome--blunt--[4]--
0.0137,-genome--blunt--[6]--
0.0135,-genome--blunt--[7]--
0.0135,-genome--tnulb--[6]--
0.0135,-genome--bridge--gatc--genome--bridge--genome-
0.0134,-genome--blunt--genome--blunt--genome-
0.0134,-genome--gatc--egdirb--[6]--
0.0134,--[5]--tnulb--genome-
0.0132,-genome--bridge--gatc--egdirb--[3]--egdirb--genome-
0.0131,-genome--tnulb--[5]--
0.013,-genome--bridge--[3]--bridge--gatc--egdirb--genome-
0.013,-genome--tnulb--[9]--
0.0128,-genome--tnulb--[7]--
0.0127,--[5]--blunt--genome-
0.0126,-bridge--gatc--tnulb--genome--egdirb--genome-
0.0125,-genome--blunt--genome--tnulb--genome-
0.0123,--[4]--tnulb--genome-
0.0122,--[3]--blunt--genome-
0.0122,-genome--egdirb--genome--gatc--egdirb--genome-
0.0122,-genome--tnulb--bridge--gatc--egdirb--genome-
0.0121,--[11]--bridge--genome-
0.0119,-genome--egdirb[a]--genome--bridge--gatc--egdirb--genome-
0.0119,--[3]--bridge--gatc--genome-
0.0118,--[6]--tnulb--genome-
0.0118,-genome--bridge--[10]--egdirb-
0.0117,--[9]--bridge--gatc--genome-
0.0117,--[8]--gatc--egdirb--genome-
0.0116,-genome--gatc--egdirb--[7]--
0.0116,-genome--gtc--tnulb--genome-
0.0115,-genome--gatc--egdirb--[4]--
0.0115,--[1]--blunt--genome-
0.0115,-genome--gatc--egdirb--genome--blunt--genome-
0.0113,-genome--blunt--genome--bridge--gatc--genome-
0.0113,--[7]--blunt--genome-
0.0112,-genome--[t]bridge--genome--bridge--gatc--egdirb--genome-
0.0112,--[6]--gatc--egdirb[a]--genome-
0.0111,--[4]--bridge--gatc--genome-
0.011,--[10]--blunt--genome--bridge--genome-
0.011,-genome--gatc--egdirb--[2]--
0.011,-genome--bridge--[4]--egdirb-
0.0106,-genome--gatc--egdirb--genome--bridge--genome-
0.0105,--[10]--gatc--egdirb--genome-
0.0104,-genome--gatc--egdirb--[3]--
0.0104,-genome--bridge--genome--tnulb--genome--bridge--gatc--egdirb--genome-
0.0103,-genome--gatc--egdirb--[5]--
0.0102,--[8]--blunt--genome-
0.0101,-genome--bridge--genome--tnulb--[9]--
0.01,-genome--gtc--tnulb-
