Barcode,Unnamed: 0,Sum
0,360786,46
3,59367577,2367
4,5832683989,184945
5,24477351878,802052
6,60992299348,1971372
7,99286445192,3200957
8,116180740630,3740283
9,99834509624,3177374
10,65662549797,2101854
11,32578422834,1076806
12,12892530085,425038
13,4401648596,126729
14,926347267,29865
15,221975769,6904
16,21748040,915
17,6381644,47
