Barcode,Unnamed: 0,Sum
0,48588,19
4,68151095,2616
5,13449865101,512513
6,41196256453,1428149
7,79069549054,2639968
8,109864713215,3723440
9,112574891164,3800643
10,85646873175,2900352
11,50455373673,1692914
12,23015575396,754481
13,7769607579,263449
14,2084747457,76233
15,498596399,16190
16,123485195,3103
17,8939660,84
