Barcode,Unnamed: 0,Sum
0,48588,19
2,156998887,5591
3,4084004746,128830
4,100265261167,3373455
5,156609093771,5218287
6,120423716610,4070349
7,64255059536,2192660
8,29076159136,995335
9,15117537276,490420
10,9845370119,334837
11,7912387443,267223
12,6625605257,234012
13,5427629773,195519
14,3714853106,144722
15,1705897061,92724
16,559382616,49512
17,29117172,17430
18,18550940,3229
