count,mask
0.0252,-genome--bridge--[5]--
0.025,-blunt--gac--genome-
0.0249,-genome--bridge--[4]--
0.0248,--[7]--bridge--gatc--genome-
0.0247,-genome--egdirb--[3]--
0.0245,-genome--bridge--[6]--gatc--egdirb-
0.0244,-genome--bridge--[3]--egdirb--genome-
0.0241,-genome--bridge--[6]--
0.0241,--[11]--bridge--gatc--genome-
0.0241,-genome--gatc--egdirb--[11]--
0.024,--[8]--bridge--gatc--genome-
0.0239,-genome--egdirb--genome--blunt-
0.0239,-genome--bridge--gatc--egdirb--[10]--
0.0238,-genome--bridge--[9]--
0.0238,-genome--bridge--[11]--
0.0235,-genome--gatc--egdirb--genome--bridge--genome-
0.0235,--[4]--bridge--genome-
0.023,--[9]--bridge--genome-
0.0229,-genome--gatc--egdirb--[8]--
0.0225,-genome--gatc--egdirb--genome--tnulb--genome-
0.0224,--[7]--bridge--genome-
0.0223,-genome--bridge--gatc--egdirb--[8]--
0.0222,-genome--bridge--gatc--egdirb--[2]--
0.022,-genome--bridge--[8]--
0.022,--[6]--egdirb--genome-
0.0219,-genome--bridge--gatc--[11]--
0.0218,-genome--blunt--gac--tnulb--genome-
0.0217,-genome--tnulb--bridge--gatc--genome-
0.0217,-genome--egdirb--[1]--tnulb--genome-
0.0214,--[9]--bridge--gatc--genome-
0.0214,-genome--bridge--gatc--egdirb--[11]--
0.0214,-genome--bridge--[7]--
0.0211,-bridge--genome--blunt--genome--egdirb--genome-
0.0211,--[11]--bridge--genome-
0.0208,-genome--bridge--gatc--egdirb--[7]--
0.0204,--[5]--bridge--genome-
0.0202,-genome--gatc--egdirb--[7]--
0.0201,-genome--gatc--egdirb--[1]--tnulb--genome-
0.0201,--[10]--bridge--gatc--genome-
0.0198,-genome--bridge--gatc--egdirb--[6]--
0.0196,-genome--gatc--egdirb--[4]--
0.0196,-genome--bridge--gatc--[8]--
0.0194,-genome--gatc--egdirb--[5]--
0.0191,-genome--bridge--gatc--egdirb--[4]--
0.019,-genome--gatc--egdirb--genome--blunt--genome-
0.0189,-genome--bridge--gatc--[9]--
0.0187,-genome--blunt--[10]--
0.0187,-genome--bridge--gatc--egdirb--[5]--
0.0185,--[1]--bridge--genome-
0.0184,-genome--bridge--gatc--[10]--
0.0183,-genome--blunt--[1]--bridge--genome-
0.0183,-bridge--gatc--genome--egdirb-
0.0182,-genome--gatc--egdirb--[9]--
0.0182,-tnulb--bridge--gatc--egdirb--genome-
0.0181,-bridge--gatc--genome--blunt--genome--egdirb--genome-
0.018,-genome--gatc--egdirb--[3]--
0.0178,--[4]--egdirb--genome-
0.0177,--[11]--egdirb--genome-
0.0175,-genome--bridge--gatc--egdirb--[3]--
0.017,--[5]--egdirb--genome-
0.017,-genome--tnulb--genome--blunt--genome-
0.0169,-bridge--genome--gatc--egdirb-
0.0168,--[8]--bridge--genome-
0.0167,-genome--bridge--[3]--egdirb-
0.0167,--[1]--tnulb--genome-
0.0166,--[3]--gatc--egdirb--genome-
0.0166,--[11]--bridge--gatc--egdirb--genome-
0.0165,-bridge--[4]--egdirb--genome-
0.0165,--[10]--egdirb--genome-
0.0156,-genome--bridge--[3]--bridge--gatc--egdirb--genome-
0.0156,-genome--gatc--egdirb--blunt--genome-
0.0153,--[5]--bridge--gatc--genome-
0.0153,-genome--blunt--[1]--
0.0152,-genome--egdirb--[10]--bridge--genome-
0.0149,-genome--egdirb--blunt--genome-
0.0148,--[3]--bridge--gatc--genome-
0.0148,-genome--bridge--gatc--egdirb--blunt-
0.0147,-bridge--genome--bridge--genome--tnulb--genome-
0.0146,-bridge--genome--tnulb-
0.0144,-genome--tnulb--bridge--genome-
0.0144,-blunt--[4]--egdirb--genome-
0.0139,-genome--blunt--[11]--
0.0138,-genome--blunt--genome--tnulb--genome-
0.0137,--[9]--tnulb--genome-
0.0137,--[3]--egdirb--genome-
0.0137,--[3]--bridge--genome-
0.0136,--[11]--tnulb--genome-
0.0133,--[5]--gatc--egdirb--genome-
0.013,-genome--blunt--[2]--
0.013,-genome--blunt--genome--blunt--genome-
0.013,--[9]--egdirb--genome-
0.013,--[1]--egdirb--genome-
0.0128,-bridge--gatc--genome--gatc--egdirb-
0.0127,-genome--gtc--tnulb-
0.0127,--[7]--tnulb--genome-
0.0126,-genome--bridge--gatc--egdirb--[3]--egdirb--genome-
0.0125,-genome--bridge--gatc--[5]--bridge--genome-
0.0124,--[1]--bridge--gatc--genome-
0.0124,--[2]--bridge--genome-
0.0121,-genome--egdirb--[10]--bridge--gatc--genome-
0.0121,-tnulb--genome--bridge--gatc--egdirb-
0.0118,-bridge--gatc--genome--tnulb-
0.0115,--[7]--gatc--egdirb--genome-
0.0113,-blunt--genome--egdirb--genome-
0.0112,-genome--bridge--genome--bridge--gatc--egdirb-
0.0112,-bridge--gatc--egdirb--genome--egdirb--genome-
0.011,--[4]--bridge--gatc--genome-
0.0109,-bridge--gatc--egdirb--genome--bridge--genome-
0.0109,-genome--blunt--[8]--
0.0108,-genome--blunt--[9]--
0.0108,-genome--blunt--[5]--
0.0107,-genome--tnulb--genome--tnulb--genome-
0.0107,-genome--blunt--[7]--
0.0107,-genome--tnulb--[2]--
0.0106,-genome--bridge--gatc--egdirb--blunt--genome-
0.0105,-genome--blunt--[4]--
0.0105,-genome--tnulb--bridge--gatc--egdirb--genome-
0.0104,-egdirb--genome--bridge--gatc--egdirb--genome-
0.0104,-genome--egdirb--genome--bridge--gatc--egdirb-
0.0102,-bridge--gatc--egdirb--genome--tnulb--genome-
0.0102,-genome--blunt--gac--egdirb--genome-
0.0101,-genome--tnulb--[9]--
0.0101,-genome--bridge--gatc--[2]--tnulb--genome-
