depth	# bases at depth	size of A	% of A at depth
211	47220	46584178	0.0010136
212	48931	46584178	0.0010504
213	46599	46584178	0.0010003
214	47912	46584178	0.0010285
215	45904	46584178	0.0009854
216	47446	46584178	0.0010185
217	44729	46584178	0.0009602
218	46735	46584178	0.0010032
219	44292	46584178	0.0009508
220	45975	46584178	0.0009869
221	43069	46584178	0.0009245
222	44728	46584178	0.0009602
223	42512	46584178	0.0009126
224	43859	46584178	0.0009415
225	41554	46584178	0.0008920
226	42959	46584178	0.0009222
227	41183	46584178	0.0008841
228	43066	46584178	0.0009245
229	40252	46584178	0.0008641
230	41846	46584178	0.0008983
231	39857	46584178	0.0008556
232	40948	46584178	0.0008790
233	38987	46584178	0.0008369
234	40521	46584178	0.0008698
235	38725	46584178	0.0008313
236	39601	46584178	0.0008501
237	37985	46584178	0.0008154
238	38537	46584178	0.0008273
239	37756	46584178	0.0008105
240	38647	46584178	0.0008296
241	37165	46584178	0.0007978
242	37796	46584178	0.0008113
243	36225	46584178	0.0007776
244	37426	46584178	0.0008034
245	35656	46584178	0.0007654
246	36035	46584178	0.0007735
247	34946	46584178	0.0007502
248	35733	46584178	0.0007671
249	34224	46584178	0.0007347
250	34835	46584178	0.0007478
251	33639	46584178	0.0007221
252	34745	46584178	0.0007459
253	33411	46584178	0.0007172
254	34525	46584178	0.0007411
255	32789	46584178	0.0007039
256	33679	46584178	0.0007230
257	32174	46584178	0.0006907
258	32642	46584178	0.0007007
259	31843	46584178	0.0006836
260	32750	46584178	0.0007030
261	31614	46584178	0.0006786
262	31738	46584178	0.0006813
263	30742	46584178	0.0006599
264	31338	46584178	0.0006727
265	30302	46584178	0.0006505
266	31034	46584178	0.0006662
267	30043	46584178	0.0006449
268	30691	46584178	0.0006588
269	29502	46584178	0.0006333
270	29818	46584178	0.0006401
271	29119	46584178	0.0006251
272	28895	46584178	0.0006203
273	28768	46584178	0.0006175
274	28869	46584178	0.0006197
275	27750	46584178	0.0005957
276	28353	46584178	0.0006086
277	27465	46584178	0.0005896
278	27841	46584178	0.0005976
279	26832	46584178	0.0005760
280	26895	46584178	0.0005773
281	26461	46584178	0.0005680
282	27065	46584178	0.0005810
283	26208	46584178	0.0005626
284	26431	46584178	0.0005674
285	26213	46584178	0.0005627
286	25939	46584178	0.0005568
287	25805	46584178	0.0005539
288	25808	46584178	0.0005540
289	25378	46584178	0.0005448
290	25435	46584178	0.0005460
291	24953	46584178	0.0005357
292	25117	46584178	0.0005392
293	24482	46584178	0.0005255
294	24658	46584178	0.0005293
295	23928	46584178	0.0005137
296	24091	46584178	0.0005171
297	23670	46584178	0.0005081
298	23993	46584178	0.0005150
299	23343	46584178	0.0005011
300	23397	46584178	0.0005023
301	22774	46584178	0.0004889
302	22898	46584178	0.0004915
303	23137	46584178	0.0004967
304	23154	46584178	0.0004970
305	22442	46584178	0.0004818
306	21954	46584178	0.0004713
307	21930	46584178	0.0004708
308	21487	46584178	0.0004613
309	21713	46584178	0.0004661
310	21710	46584178	0.0004660
311	21478	46584178	0.0004611
312	21344	46584178	0.0004582
313	21084	46584178	0.0004526
314	20834	46584178	0.0004472
315	21018	46584178	0.0004512
316	20942	46584178	0.0004496
317	20606	46584178	0.0004423
318	20815	46584178	0.0004468
319	20104	46584178	0.0004316
320	20083	46584178	0.0004311
321	20017	46584178	0.0004297
322	19837	46584178	0.0004258
323	19426	46584178	0.0004170
324	19570	46584178	0.0004201
325	19079	46584178	0.0004096
326	19618	46584178	0.0004211
327	19255	46584178	0.0004133
328	19309	46584178	0.0004145
329	18958	46584178	0.0004070
330	18849	46584178	0.0004046
331	18464	46584178	0.0003964
332	18421	46584178	0.0003954
333	18510	46584178	0.0003973
334	18007	46584178	0.0003865
335	18216	46584178	0.0003910
336	17937	46584178	0.0003850
337	18035	46584178	0.0003871
338	17703	46584178	0.0003800
339	17578	46584178	0.0003773
340	17798	46584178	0.0003821
341	17081	46584178	0.0003667
342	17020	46584178	0.0003654
343	16878	46584178	0.0003623
344	16926	46584178	0.0003633
345	16531	46584178	0.0003549
346	16670	46584178	0.0003578
347	16234	46584178	0.0003485
348	16508	46584178	0.0003544
349	16530	46584178	0.0003548
350	16083	46584178	0.0003452
351	16115	46584178	0.0003459
352	15924	46584178	0.0003418
353	15504	46584178	0.0003328
354	15573	46584178	0.0003343
355	15600	46584178	0.0003349
356	15369	46584178	0.0003299
357	15059	46584178	0.0003233
358	15089	46584178	0.0003239
359	14828	46584178	0.0003183
360	14687	46584178	0.0003153
361	14696	46584178	0.0003155
362	14572	46584178	0.0003128
363	14598	46584178	0.0003134
364	14256	46584178	0.0003060
365	14463	46584178	0.0003105
366	13725	46584178	0.0002946
367	14084	46584178	0.0003023
368	14068	46584178	0.0003020
369	14060	46584178	0.0003018
370	13394	46584178	0.0002875
371	13536	46584178	0.0002906
372	13383	46584178	0.0002873
373	13451	46584178	0.0002887
374	12994	46584178	0.0002789
375	13406	46584178	0.0002878
376	13120	46584178	0.0002816
377	13026	46584178	0.0002796
378	12980	46584178	0.0002786
379	12757	46584178	0.0002738
380	12755	46584178	0.0002738
381	12742	46584178	0.0002735
382	12432	46584178	0.0002669
383	12567	46584178	0.0002698
384	12363	46584178	0.0002654
385	12332	46584178	0.0002647
386	12303	46584178	0.0002641
387	12099	46584178	0.0002597
388	12141	46584178	0.0002606
389	11686	46584178	0.0002509
390	11899	46584178	0.0002554
391	11583	46584178	0.0002486
392	11586	46584178	0.0002487
393	11276	46584178	0.0002421
394	11540	46584178	0.0002477
395	11182	46584178	0.0002400
396	11370	46584178	0.0002441
397	11038	46584178	0.0002369
398	11123	46584178	0.0002388
399	11082	46584178	0.0002379
400	11082	46584178	0.0002379
401	10818	46584178	0.0002322
402	10801	46584178	0.0002319
403	10784	46584178	0.0002315
404	10649	46584178	0.0002286
405	10587	46584178	0.0002273
406	10635	46584178	0.0002283
407	10260	46584178	0.0002202
408	10408	46584178	0.0002234
409	10064	46584178	0.0002160
410	10113	46584178	0.0002171
411	10197	46584178	0.0002189
412	10312	46584178	0.0002214
413	9930	46584178	0.0002132
414	10005	46584178	0.0002148
415	9903	46584178	0.0002126
416	9655	46584178	0.0002073
417	9677	46584178	0.0002077
418	9779	46584178	0.0002099
419	10024	46584178	0.0002152
420	9762	46584178	0.0002096
421	9574	46584178	0.0002055
422	9391	46584178	0.0002016
423	9386	46584178	0.0002015
424	9333	46584178	0.0002003
425	9223	46584178	0.0001980
426	9011	46584178	0.0001934
427	8968	46584178	0.0001925
428	9118	46584178	0.0001957
429	8811	46584178	0.0001891
430	8989	46584178	0.0001930
431	8856	46584178	0.0001901
432	8778	46584178	0.0001884
433	8653	46584178	0.0001857
434	8736	46584178	0.0001875
435	8421	46584178	0.0001808
436	8714	46584178	0.0001871
437	8512	46584178	0.0001827
438	8237	46584178	0.0001768
439	8348	46584178	0.0001792
440	8488	46584178	0.0001822
441	8442	46584178	0.0001812
442	8416	46584178	0.0001807
443	8194	46584178	0.0001759
444	7939	46584178	0.0001704
445	8092	46584178	0.0001737
446	8164	46584178	0.0001753
447	8151	46584178	0.0001750
448	8306	46584178	0.0001783
449	7850	46584178	0.0001685
450	7887	46584178	0.0001693
451	7687	46584178	0.0001650
452	7661	46584178	0.0001645
453	7557	46584178	0.0001622
454	7824	46584178	0.0001680
455	7366	46584178	0.0001581
456	7450	46584178	0.0001599
457	7313	46584178	0.0001570
458	7484	46584178	0.0001607
459	7358	46584178	0.0001580
460	7488	46584178	0.0001607
461	7315	46584178	0.0001570
462	7362	46584178	0.0001580
463	7156	46584178	0.0001536
464	7210	46584178	0.0001548
465	6773	46584178	0.0001454
466	6973	46584178	0.0001497
467	6949	46584178	0.0001492
468	7015	46584178	0.0001506
469	6879	46584178	0.0001477
470	6786	46584178	0.0001457
471	6905	46584178	0.0001482
472	6654	46584178	0.0001428
473	6609	46584178	0.0001419
474	6678	46584178	0.0001434
475	6471	46584178	0.0001389
476	6706	46584178	0.0001440
477	6541	46584178	0.0001404
478	6553	46584178	0.0001407
479	6482	46584178	0.0001391
480	6295	46584178	0.0001351
481	6303	46584178	0.0001353
482	6142	46584178	0.0001318
483	6231	46584178	0.0001338
484	6078	46584178	0.0001305
485	6425	46584178	0.0001379
486	6187	46584178	0.0001328
487	6217	46584178	0.0001335
488	5963	46584178	0.0001280
489	5900	46584178	0.0001267
490	5822	46584178	0.0001250
491	5901	46584178	0.0001267
492	6018	46584178	0.0001292
493	5916	46584178	0.0001270
494	6069	46584178	0.0001303
495	5750	46584178	0.0001234
496	5760	46584178	0.0001236
497	5698	46584178	0.0001223
498	5603	46584178	0.0001203
499	5519	46584178	0.0001185
500	5509	46584178	0.0001183
501	5561	46584178	0.0001194
502	5513	46584178	0.0001183
503	5366	46584178	0.0001152
504	5424	46584178	0.0001164
505	5311	46584178	0.0001140
506	5370	46584178	0.0001153
507	5360	46584178	0.0001151
508	5137	46584178	0.0001103
509	5100	46584178	0.0001095
510	5090	46584178	0.0001093
511	5043	46584178	0.0001083
512	5118	46584178	0.0001099
513	5013	46584178	0.0001076
514	5203	46584178	0.0001117
515	5019	46584178	0.0001077
516	5126	46584178	0.0001100
517	5060	46584178	0.0001086
518	4901	46584178	0.0001052
519	4971	46584178	0.0001067
520	4845	46584178	0.0001040
521	4964	46584178	0.0001066
522	4850	46584178	0.0001041
523	4756	46584178	0.0001021
524	4960	46584178	0.0001065
525	4679	46584178	0.0001004
526	4829	46584178	0.0001037
527	4551	46584178	0.0000977
528	4718	46584178	0.0001013
529	4794	46584178	0.0001029
530	4669	46584178	0.0001002
531	4590	46584178	0.0000985
532	4513	46584178	0.0000969
533	4499	46584178	0.0000966
534	4594	46584178	0.0000986
535	4516	46584178	0.0000969
536	4479	46584178	0.0000961
537	4423	46584178	0.0000949
538	4389	46584178	0.0000942
539	4289	46584178	0.0000921
540	4489	46584178	0.0000964
541	4177	46584178	0.0000897
542	4277	46584178	0.0000918
543	4237	46584178	0.0000910
544	4117	46584178	0.0000884
545	4297	46584178	0.0000922
546	4208	46584178	0.0000903
547	4301	46584178	0.0000923
548	4146	46584178	0.0000890
549	4055	46584178	0.0000870
550	4156	46584178	0.0000892
551	4179	46584178	0.0000897
552	3994	46584178	0.0000857
553	4144	46584178	0.0000890
554	4046	46584178	0.0000869
555	3932	46584178	0.0000844
556	3972	46584178	0.0000853
557	4039	46584178	0.0000867
558	3987	46584178	0.0000856
559	3883	46584178	0.0000834
560	3926	46584178	0.0000843
561	3892	46584178	0.0000835
562	3885	46584178	0.0000834
563	3900	46584178	0.0000837
564	3765	46584178	0.0000808
565	3767	46584178	0.0000809
566	3755	46584178	0.0000806
567	3776	46584178	0.0000811
568	3675	46584178	0.0000789
569	3656	46584178	0.0000785
570	3749	46584178	0.0000805
571	3609	46584178	0.0000775
572	3650	46584178	0.0000784
573	3467	46584178	0.0000744
574	3717	46584178	0.0000798
575	3608	46584178	0.0000775
576	3512	46584178	0.0000754
577	3498	46584178	0.0000751
578	3465	46584178	0.0000744
579	3490	46584178	0.0000749
580	3494	46584178	0.0000750
581	3356	46584178	0.0000720
582	3399	46584178	0.0000730
583	3239	46584178	0.0000695
584	3370	46584178	0.0000723
585	3249	46584178	0.0000697
586	3392	46584178	0.0000728
587	3360	46584178	0.0000721
588	3391	46584178	0.0000728
589	3235	46584178	0.0000694
590	3377	46584178	0.0000725
591	3334	46584178	0.0000716
592	3190	46584178	0.0000685
593	3161	46584178	0.0000679
594	3076	46584178	0.0000660
595	3153	46584178	0.0000677
596	3148	46584178	0.0000676
597	3129	46584178	0.0000672
598	2942	46584178	0.0000632
599	3041	46584178	0.0000653
600	3050	46584178	0.0000655
601	3086	46584178	0.0000662
602	3041	46584178	0.0000653
603	3117	46584178	0.0000669
604	2958	46584178	0.0000635
605	2965	46584178	0.0000636
606	3005	46584178	0.0000645
607	2998	46584178	0.0000644
608	2968	46584178	0.0000637
609	2829	46584178	0.0000607
610	2876	46584178	0.0000617
611	2887	46584178	0.0000620
612	2864	46584178	0.0000615
613	2823	46584178	0.0000606
614	2924	46584178	0.0000628
615	2877	46584178	0.0000618
616	2721	46584178	0.0000584
617	2743	46584178	0.0000589
618	2800	46584178	0.0000601
619	2688	46584178	0.0000577
620	2796	46584178	0.0000600
621	2740	46584178	0.0000588
622	2777	46584178	0.0000596
623	2786	46584178	0.0000598
624	2552	46584178	0.0000548
625	2675	46584178	0.0000574
626	2692	46584178	0.0000578
627	2579	46584178	0.0000554
628	2605	46584178	0.0000559
629	2628	46584178	0.0000564
630	2564	46584178	0.0000550
631	2495	46584178	0.0000536
632	2652	46584178	0.0000569
633	2528	46584178	0.0000543
634	2568	46584178	0.0000551
635	2497	46584178	0.0000536
636	2560	46584178	0.0000550
637	2467	46584178	0.0000530
638	2463	46584178	0.0000529
639	2401	46584178	0.0000515
640	2406	46584178	0.0000516
641	2307	46584178	0.0000495
642	2347	46584178	0.0000504
643	2292	46584178	0.0000492
644	2387	46584178	0.0000512
645	2410	46584178	0.0000517
646	2304	46584178	0.0000495
647	2208	46584178	0.0000474
648	2437	46584178	0.0000523
649	2388	46584178	0.0000513
650	2240	46584178	0.0000481
651	2305	46584178	0.0000495
652	2292	46584178	0.0000492
653	2269	46584178	0.0000487
654	2185	46584178	0.0000469
655	2263	46584178	0.0000486
656	2373	46584178	0.0000509
657	2085	46584178	0.0000448
658	2264	46584178	0.0000486
659	2052	46584178	0.0000440
660	2225	46584178	0.0000478
661	2148	46584178	0.0000461
662	2144	46584178	0.0000460
663	2221	46584178	0.0000477
664	2115	46584178	0.0000454
665	2110	46584178	0.0000453
666	2144	46584178	0.0000460
667	2073	46584178	0.0000445
668	2035	46584178	0.0000437
669	2131	46584178	0.0000457
670	2034	46584178	0.0000437
671	1979	46584178	0.0000425
672	1910	46584178	0.0000410
673	1994	46584178	0.0000428
674	1952	46584178	0.0000419
675	2015	46584178	0.0000433
676	1933	46584178	0.0000415
677	1946	46584178	0.0000418
678	1878	46584178	0.0000403
679	1902	46584178	0.0000408
680	1830	46584178	0.0000393
681	1994	46584178	0.0000428
682	1977	46584178	0.0000424
683	1949	46584178	0.0000418
684	1908	46584178	0.0000410
685	1823	46584178	0.0000391
686	1912	46584178	0.0000410
687	1869	46584178	0.0000401
688	1829	46584178	0.0000393
689	1870	46584178	0.0000401
690	1829	46584178	0.0000393
691	1857	46584178	0.0000399
692	1774	46584178	0.0000381
693	1902	46584178	0.0000408
694	1680	46584178	0.0000361
695	1764	46584178	0.0000379
696	1826	46584178	0.0000392
697	1811	46584178	0.0000389
698	1780	46584178	0.0000382
699	1793	46584178	0.0000385
700	1651	46584178	0.0000354
701	1660	46584178	0.0000356
702	1697	46584178	0.0000364
703	1682	46584178	0.0000361
704	1593	46584178	0.0000342
705	1720	46584178	0.0000369
706	1630	46584178	0.0000350
707	1677	46584178	0.0000360
708	1664	46584178	0.0000357
709	1744	46584178	0.0000374
710	1692	46584178	0.0000363
711	1694	46584178	0.0000364
712	1587	46584178	0.0000341
713	1756	46584178	0.0000377
714	1629	46584178	0.0000350
715	1682	46584178	0.0000361
716	1593	46584178	0.0000342
717	1674	46584178	0.0000359
718	1613	46584178	0.0000346
719	1578	46584178	0.0000339
720	1612	46584178	0.0000346
721	1483	46584178	0.0000318
722	1535	46584178	0.0000330
723	1540	46584178	0.0000331
724	1583	46584178	0.0000340
725	1567	46584178	0.0000336
726	1483	46584178	0.0000318
727	1526	46584178	0.0000328
728	1528	46584178	0.0000328
729	1517	46584178	0.0000326
730	1538	46584178	0.0000330
731	1440	46584178	0.0000309
732	1493	46584178	0.0000320
733	1475	46584178	0.0000317
734	1558	46584178	0.0000334
735	1442	46584178	0.0000310
736	1441	46584178	0.0000309
737	1445	46584178	0.0000310
738	1427	46584178	0.0000306
739	1505	46584178	0.0000323
740	1441	46584178	0.0000309
741	1346	46584178	0.0000289
742	1385	46584178	0.0000297
743	1389	46584178	0.0000298
744	1332	46584178	0.0000286
745	1423	46584178	0.0000305
746	1402	46584178	0.0000301
747	1396	46584178	0.0000300
748	1372	46584178	0.0000295
749	1321	46584178	0.0000284
750	1294	46584178	0.0000278
751	1326	46584178	0.0000285
752	1336	46584178	0.0000287
753	1229	46584178	0.0000264
754	1280	46584178	0.0000275
755	1284	46584178	0.0000276
756	1307	46584178	0.0000281
757	1285	46584178	0.0000276
758	1165	46584178	0.0000250
759	1171	46584178	0.0000251
760	1265	46584178	0.0000272
761	1265	46584178	0.0000272
762	1288	46584178	0.0000276
763	1286	46584178	0.0000276
764	1174	46584178	0.0000252
765	1254	46584178	0.0000269
