depth	# bases at depth	size of A	% of A at depth
194	73754	3137161264	0.0000235
195	69835	3137161264	0.0000223
196	72723	3137161264	0.0000232
197	69227	3137161264	0.0000221
198	71412	3137161264	0.0000228
199	67515	3137161264	0.0000215
200	70332	3137161264	0.0000224
201	66766	3137161264	0.0000213
202	68636	3137161264	0.0000219
203	65358	3137161264	0.0000208
204	67866	3137161264	0.0000216
205	64370	3137161264	0.0000205
206	66161	3137161264	0.0000211
207	62673	3137161264	0.0000200
208	65366	3137161264	0.0000208
209	62531	3137161264	0.0000199
210	64175	3137161264	0.0000205
211	61015	3137161264	0.0000194
212	62819	3137161264	0.0000200
213	60223	3137161264	0.0000192
214	61366	3137161264	0.0000196
215	58844	3137161264	0.0000188
216	60729	3137161264	0.0000194
217	57175	3137161264	0.0000182
218	59563	3137161264	0.0000190
219	56323	3137161264	0.0000180
220	58377	3137161264	0.0000186
221	55274	3137161264	0.0000176
222	56987	3137161264	0.0000182
223	54652	3137161264	0.0000174
224	55748	3137161264	0.0000178
225	53069	3137161264	0.0000169
226	54766	3137161264	0.0000175
227	52749	3137161264	0.0000168
228	54460	3137161264	0.0000174
229	51291	3137161264	0.0000163
230	53123	3137161264	0.0000169
231	50914	3137161264	0.0000162
232	52060	3137161264	0.0000166
233	49720	3137161264	0.0000158
234	51378	3137161264	0.0000164
235	49390	3137161264	0.0000157
236	50136	3137161264	0.0000160
237	48187	3137161264	0.0000154
238	48627	3137161264	0.0000155
239	47752	3137161264	0.0000152
240	48921	3137161264	0.0000156
241	46920	3137161264	0.0000150
242	47637	3137161264	0.0000152
243	45834	3137161264	0.0000146
244	47138	3137161264	0.0000150
245	45090	3137161264	0.0000144
246	45600	3137161264	0.0000145
247	44328	3137161264	0.0000141
248	45008	3137161264	0.0000143
249	43293	3137161264	0.0000138
250	43940	3137161264	0.0000140
251	42609	3137161264	0.0000136
252	43614	3137161264	0.0000139
253	41947	3137161264	0.0000134
254	43180	3137161264	0.0000138
255	41317	3137161264	0.0000132
256	42218	3137161264	0.0000135
257	40448	3137161264	0.0000129
258	41038	3137161264	0.0000131
259	40139	3137161264	0.0000128
260	41219	3137161264	0.0000131
261	40023	3137161264	0.0000128
262	39821	3137161264	0.0000127
263	38931	3137161264	0.0000124
264	39243	3137161264	0.0000125
265	38263	3137161264	0.0000122
266	39076	3137161264	0.0000125
267	37977	3137161264	0.0000121
268	38597	3137161264	0.0000123
269	36964	3137161264	0.0000118
270	37455	3137161264	0.0000119
271	36468	3137161264	0.0000116
272	36519	3137161264	0.0000116
273	36185	3137161264	0.0000115
274	36061	3137161264	0.0000115
275	35008	3137161264	0.0000112
276	35668	3137161264	0.0000114
277	34704	3137161264	0.0000111
278	35031	3137161264	0.0000112
279	33977	3137161264	0.0000108
280	34072	3137161264	0.0000109
281	33416	3137161264	0.0000107
