Pattern	K562_Banaszak	K562_Belaghzal	K562_Dixon	K562_Moquin	K562_Rao	K562_Ray	K562_Wang	K562_Zhou	Count	AND_Count	Libs
10110001	1	0	1	1	0	0	0	1	474	215906	4
01001101	0	1	0	0	1	1	0	1	410	907964	4
01001011	0	1	0	0	1	0	1	1	345	870403	4
01101100	0	1	1	0	1	1	0	0	294	907432	4
11100001	1	1	1	0	0	0	0	1	290	150470	4
10101100	1	0	1	0	1	1	0	0	284	159683	4
00011110	0	0	0	1	1	1	1	0	241	1093667	4
10011001	1	0	0	1	1	0	0	1	224	215133	4
00010111	0	0	0	1	0	1	1	1	191	1094495	4
10001011	1	0	0	0	1	0	1	1	189	187616	4
01100101	0	1	1	0	0	1	0	1	182	907031	4
11001001	1	1	0	0	1	0	0	1	164	150218	4
10100101	1	0	1	0	0	1	0	1	141	159484	4
00101110	0	0	1	0	1	1	1	0	115	1228278	4
01101010	0	1	1	0	1	0	1	0	114	869566	4
01011100	0	1	0	1	1	1	0	0	106	821331	4
00110110	0	0	1	1	0	1	1	0	99	1093352	4
10001101	1	0	0	0	1	1	0	1	81	159265	4
01011010	0	1	0	1	1	0	1	0	80	780863	4
01010110	0	1	0	1	0	1	1	0	77	664710	4
10101010	1	0	1	0	1	0	1	0	67	187379	4
01010011	0	1	0	1	0	0	1	1	50	781305	4
01110100	0	1	1	1	0	1	0	0	44	820683	4
01010101	0	1	0	1	0	1	0	1	43	820950	4
01110010	0	1	1	1	0	0	1	0	43	780865	4
10000111	1	0	0	0	0	1	1	1	43	121246	4
10010101	1	0	0	1	0	1	0	1	41	139906	4
10011100	1	0	0	1	1	1	0	0	39	140140	4
10110100	1	0	1	1	0	1	0	0	39	140104	4
10010011	1	0	0	1	0	0	1	1	35	147451	4
11011000	1	1	0	1	1	0	0	0	33	123007	4
11110000	1	1	1	1	0	0	0	0	33	123105	4
01001110	0	1	0	0	1	1	1	0	31	716656	4
01000111	0	1	0	0	0	1	1	1	28	716815	4
11010001	1	1	0	1	0	0	0	1	28	122803	4
10010110	1	0	0	1	0	1	1	0	23	109770	4
10100110	1	0	1	0	0	1	1	0	15	121145	4
11100100	1	1	1	0	0	1	0	0	15	101216	4
01100110	0	1	1	0	0	1	1	0	14	716382	4
10011010	1	0	0	1	1	0	1	0	13	146776	4
11000011	1	1	0	0	0	0	1	1	13	98313	4
11010100	1	1	0	1	0	1	0	0	13	92753	4
10110010	1	0	1	1	0	0	1	0	12	147323	4
11000101	1	1	0	0	0	1	0	1	9	101095	4
11001010	1	1	0	0	1	0	1	0	9	98156	4
11100010	1	1	1	0	0	0	1	0	7	98278	4
11001100	1	1	0	0	1	1	0	0	6	101207	4
11000110	1	1	0	0	0	1	1	0	5	80616	4
11010010	1	1	0	1	0	0	1	0	1	89427	4
00101001	0	0	1	0	1	0	0	1	669580	3697750	3
00100011	0	0	1	0	0	0	1	1	128004	2144030	3
10100001	1	0	1	0	0	0	0	1	10775	342296	3
00111000	0	0	1	1	1	0	0	0	8806	2240502	3
00110001	0	0	1	1	0	0	0	1	8408	2245322	3
10101000	1	0	1	0	1	0	0	0	5198	330470	3
00011001	0	0	0	1	1	0	0	1	4528	2237105	3
01101000	0	1	1	0	1	0	0	0	4472	1348639	3
01100001	0	1	1	0	0	0	0	1	4164	1347578	3
00101100	0	0	1	0	1	1	0	0	3636	1668528	3
00001011	0	0	0	0	1	0	1	1	3394	2004313	3
00100101	0	0	1	0	0	1	0	1	2560	1670258	3
01001001	0	1	0	0	1	0	0	1	2139	1346080	3
00001101	0	0	0	0	1	1	0	1	1855	1668470	3
10001001	1	0	0	0	1	0	0	1	1107	324839	3
00101010	0	0	1	0	1	0	1	0	955	1998297	3
00011100	0	0	0	1	1	1	0	0	772	1423842	3
00010110	0	0	0	1	0	1	1	0	503	1096059	3
00010011	0	0	0	1	0	0	1	1	462	1510980	3
00011010	0	0	0	1	1	0	1	0	432	1503189	3
01011000	0	1	0	1	1	0	0	0	420	1070196	3
00000111	0	0	0	0	0	1	1	1	385	1236232	3
00110100	0	0	1	1	0	1	0	0	292	1421581	3
00010101	0	0	0	1	0	1	0	1	291	1422616	3
00110010	0	0	1	1	0	0	1	0	273	1508337	3
01110000	0	1	1	1	0	0	0	0	265	1069463	3
10000011	1	0	0	0	0	0	1	1	239	195890	3
11100000	1	1	1	0	0	0	0	0	218	152025	3
10110000	1	0	1	1	0	0	0	0	212	217901	3
01010001	0	1	0	1	0	0	0	1	153	1069116	3
10010001	1	0	0	1	0	0	0	1	138	216888	3
00001110	0	0	0	0	1	1	1	0	132	1231392	3
01010010	0	1	0	1	0	0	1	0	126	782119	3
10011000	1	0	0	1	1	0	0	0	125	217057	3
01010100	0	1	0	1	0	1	0	0	121	822232	3
11000001	1	1	0	0	0	0	0	1	117	151119	3
01001100	0	1	0	0	1	1	0	0	107	909488	3
01000011	0	1	0	0	0	0	1	1	103	872171	3
11001000	1	1	0	0	1	0	0	0	100	151654	3
