	Count	Standard_1	Standard_2	K562_Fishman-Gridina_ExoCBel	K562_Fishman-Gridina_Quarantine
1110100010	86	0	0	1	0
1110100011	420	0	0	1	1
1110100100	759	0	0	0	0
1110100101	2266	0	0	0	1
1110100110	1144	0	0	1	0
1110100111	11072	0	0	1	1
1110101000	2	0	0	0	0
1110101001	5	0	0	0	1
1110101010	1	0	0	1	0
1110101011	10	0	0	1	1
1110101100	173	0	0	0	0
1110101101	675	0	0	0	1
1110101110	270	0	0	1	0
1110101111	2678	0	0	1	1
1110110000	4	0	0	0	0
1110110001	6	0	0	0	1
1110110010	3	0	0	1	0
1110110011	32	0	0	1	1
1110110100	198	0	0	0	0
1110110101	565	0	0	0	1
1110110110	254	0	0	1	0
1110110111	2441	0	0	1	1
1110111001	8	0	0	0	1
1110111010	1	0	0	1	0
1110111011	4	0	0	1	1
1110111100	180	0	0	0	0
1110111101	927	0	0	0	1
1110111110	249	0	0	1	0
1110111111	3712	0	0	1	1
1111000000	3	0	0	0	0
1111000001	8	0	0	0	1
1111000010	4	0	0	1	0
1111000011	18	0	0	1	1
1111000100	7	0	0	0	0
1111000101	13	0	0	0	1
1111000110	14	0	0	1	0
1111000111	73	0	0	1	1
1111001001	2	0	0	0	1
1111001011	3	0	0	1	1
1111001100	4	0	0	0	0
1111001101	17	0	0	0	1
1111001110	9	0	0	1	0
1111001111	77	0	0	1	1
1111010000	5	0	0	0	0
1111010001	2	0	0	0	1
1111010010	1	0	0	1	0
1111010011	10	0	0	1	1
1111010100	6	0	0	0	0
1111010101	6	0	0	0	1
1111010110	1	0	0	1	0
1111010111	19	0	0	1	1
1111011000	3	0	0	0	0
1111011001	2	0	0	0	1
1111011011	3	0	0	1	1
1111011100	12	0	0	0	0
1111011101	18	0	0	0	1
1111011110	8	0	0	1	0
1111011111	26	0	0	1	1
1111100000	16	0	0	0	0
1111100001	35	0	0	0	1
1111100010	18	0	0	1	0
1111100011	233	0	0	1	1
1111100100	437	0	0	0	0
1111100101	1727	0	0	0	1
1111100110	747	0	0	1	0
1111100111	13302	0	0	1	1
1111101000	2	0	0	0	0
1111101001	3	0	0	0	1
1111101010	4	0	0	1	0
1111101011	11	0	0	1	1
1111101100	302	0	0	0	0
1111101101	2117	0	0	0	1
1111101110	506	0	0	1	0
1111101111	10807	0	0	1	1
1111110000	19	0	0	0	0
1111110001	21	0	0	0	1
1111110010	13	0	0	1	0
1111110011	96	0	0	1	1
1111110100	530	0	0	0	0
1111110101	2874	0	0	0	1
1111110110	676	0	0	1	0
1111110111	12866	0	0	1	1
1111111001	2	0	0	0	1
1111111010	4	0	0	1	0
1111111011	35	0	0	1	1
1111111100	1016	1	0	0	0
1111111101	11977	1	0	0	1
1111111110	1607	1	0	1	0
1111111111	60728	1	0	1	1
