	K562_Fishman-Gridina_ExoCBel	K562_Fishman-Gridina_Quarantine	Both	Neither
Gold	62335	72705	60728	1016
Gold, %	82,7514337298216	96,5178950722175	80,618097	1,348768
Silver	350125	542895	332737	27970
Silver, %	59,5194584643002	92,2893720899001	56,563587	4,754757
