count,mask
52.327,-genome-
7.862,-bridge--genome-
7.006,-bridge--gatc--genome-
3.949,-genome--bridge--genome-
3.47,-genome--bridge--gatc--genome-
3.307,-genome--bridge--gatc--egdirb--genome-
3.275,-genome--egdirb--genome-
1.98,-genome--gatc--egdirb--genome-
1.409,-genome--blunt--genome-
1.391,-genome--tnulb--genome-
1.178,-tnulb--genome-
0.329,-bridge--gatc--egdirb--genome-
0.267,-bridge--gatc--genome--bridge--genome-
0.234,-bridge--gatc--genome--egdirb--genome-
0.222,-bridge--genome--egdirb--genome-
0.205,-bridge--genome--bridge--genome-
0.182,-bridge--gatc--genome--tnulb--genome-
0.159,-genome--blunt--genome--egdirb--genome-
0.156,-genome--bridge--genome--tnulb--genome-
0.156,-genome--bridge--gatc--tnulb--genome-
0.152,-bridge--gatc--genome--blunt--genome-
0.151,-bridge--genome--blunt--genome-
0.146,-bridge--genome--tnulb--genome-
0.144,-genome--egdirb--[2]--
0.136,-tnulb--bridge--genome-
0.135,-genome--egdirb--[1]--
0.134,-genome--egdirb-
0.125,-genome--bridge--[4]--egdirb--genome-
0.119,-tnulb--genome--bridge--gatc--egdirb--genome-
0.116,-blunt--genome-
0.108,-tnulb--bridge--gatc--genome-
0.106,-tnulb--genome--bridge--gatc--genome-
0.101,-genome--gatc--egdirb--[1]--
0.094,-genome--gatc--egdirb--[2]--
0.094,-egdirb--genome-
0.088,-genome--gatc--egdirb-
0.087,-genome--bridge--[1]--
0.081,-tnulb--genome--egdirb--genome-
0.08,-genome--blunt--genome--bridge--genome-
0.074,-tnulb--genome--bridge--genome-
0.073,-genome--bridge--gatc--genome--bridge--genome-
0.072,-genome--bridge--gatc--genome--egdirb--genome-
0.07,-genome--bridge--genome--bridge--genome-
0.07,-genome--bridge--[2]--
0.066,-genome--bridge--gatc--[6]--
0.062,-genome--egdirb--genome--egdirb--genome-
0.062,-genome--bridge--[3]--
0.059,-genome--egdirb--genome--gatc--egdirb--genome-
0.058,-genome--bridge--gatc--genome--tnulb--genome-
0.055,-genome--bridge-
0.055,-genome--bridge--genome--egdirb--genome-
0.054,-genome--bridge--gatc--[1]--
0.052,-genome--egdirb--genome--tnulb--genome-
0.052,-genome--blunt--gac--genome-
0.051,-tnulb--genome--tnulb--genome-
0.05,-genome--bridge--gatc--egdirb--genome--blunt--genome-
0.05,-genome--bridge--gatc--[3]--
0.048,-genome--egdirb--genome--bridge--gatc--egdirb--genome-
0.048,-genome--egdirb--genome--bridge--gatc--genome-
0.048,-tnulb--genome--gatc--egdirb--genome-
0.047,-genome--bridge--gatc--[4]--
0.046,-genome--bridge--genome--bridge--gatc--genome-
0.046,-genome--egdirb--[4]--
0.046,-genome--egdirb--[5]--
0.045,-genome--bridge--gatc-
0.044,-genome--egdirb--[8]--
0.044,-genome--blunt--genome--bridge--gatc--genome-
0.044,-genome--tnulb--genome--bridge--gatc--genome-
0.044,--[6]--bridge--genome-
0.043,-genome--bridge--gatc--egdirb--genome--egdirb--genome-
0.043,-genome--bridge--gatc--[2]--
0.042,-genome--egdirb--[10]--
0.042,-genome--tnulb--genome--egdirb--genome-
0.042,-genome--bridge--gatc--genome--blunt--genome-
0.042,-genome--egdirb--[6]--
0.041,-genome--egdirb--genome--bridge--genome-
0.04,-genome--gtc--tnulb--genome-
0.04,-genome--egdirb--[7]--
0.04,-genome--bridge--[5]--
0.038,-genome--blunt--genome--bridge--gatc--egdirb--genome-
0.038,-genome--bridge--genome--gatc--egdirb--genome-
0.038,-genome--egdirb--[3]--
0.038,-genome--bridge--gatc--[5]--
0.038,-genome--tnulb--genome--bridge--genome-
0.038,-genome--egdirb--[9]--
0.037,-genome--bridge--gatc--egdirb--genome--bridge--genome-
0.036,-genome--gatc--egdirb--[10]--
0.036,-genome--bridge--genome--bridge--gatc--egdirb--genome-
0.035,-tnulb--genome--blunt--genome-
0.035,-bridge--gatc--tnulb--genome-
0.035,--[8]--bridge--gatc--genome-
0.034,-genome--bridge--genome--blunt--genome-
0.034,--[6]--bridge--gatc--genome-
0.034,-genome--bridge--[6]--
0.033,-genome--bridge--gatc--egdirb--genome--tnulb--genome-
0.033,-genome--bridge--[10]--
0.032,-genome--bridge--[4]--
0.032,-genome--bridge--[8]--
0.031,-genome--tnulb--genome--bridge--gatc--egdirb--genome-
0.031,--[7]--bridge--gatc--genome-
0.031,-genome--gatc--egdirb--[6]--
0.03,--[6]--gatc--egdirb--genome-
0.03,-genome--bridge--[9]--
0.03,--[5]--egdirb--genome-
0.03,-genome--bridge--gatc--egdirb--[10]--
0.029,-genome--bridge--gatc--egdirb-
0.029,-genome--bridge--gatc--egdirb--[1]--
0.029,-bridge--gatc--[6]--egdirb--genome-
0.029,-genome--bridge--gatc--egdirb--[8]--
0.029,--[11]--bridge--gatc--genome-
0.029,-genome--bridge--gatc--[11]--
